a,sigma,beta,k,u_hat,delta,p_increase
0.017272727,0.01,1.7272727,0.2,0.05,9.392240464045385e-4,1
0.017424242,0.01,1.7424241999999999,0.2,0.05,9.460376058288193e-4,1
0.017424242,0.01,1.7424241999999999,0.2,0.05,9.460376058288193e-4,1
0.017575758,0.01,1.7575758,0.2,0.05,9.529552503171859e-4,1
0.017575758,0.01,1.7575758,0.2,0.05,9.529552503171859e-4,1
0.017727273,0.01,1.7727273000000001,0.2,0.05,9.599708619194886e-4,1
0.017727273,0.01,1.7727273000000001,0.2,0.05,9.599708619194886e-4,1
0.017878788,0.01,1.7878787999999999,0.2,0.05,9.670786556949597e-4,1
0.017878788,0.01,1.7878787999999999,0.2,0.05,9.670786556949597e-4,1
0.018030303,0.01,1.8030303,0.2,0.05,9.742729919685922e-4,1
0.018030303,0.01,1.8030303,0.2,0.05,9.742729919685922e-4,1
0.018181818,0.01,1.8181817999999998,0.2,0.05,9.815484160615293e-4,1
0.018181818,0.01,1.8181817999999998,0.2,0.05,9.815484160615293e-4,1
0.018333333,0.01,1.8333333,0.2,0.05,9.888996528656826e-4,1
0.018333333,0.01,1.8333333,0.2,0.05,9.888996528656826e-4,1
0.018484848,0.01,1.8484848,0.2,0.05,9.963216015771745e-4,1
0.018484848,0.01,1.8484848,0.2,0.05,9.963216015771745e-4,1
0.018636364,0.01,1.8636363999999999,0.2,0.05,0.0010038093802093415,1
0.018636364,0.01,1.8636363999999999,0.2,0.05,0.0010038093802093415,1
0.018787879,0.01,1.8787879,0.2,0.05,0.0010113581225145538,1
0.018787879,0.01,1.8787879,0.2,0.05,0.0010113581225145538,1
0.018939394,0.01,1.8939393999999998,0.2,0.05,0.0010189632697273046,1
0.018939394,0.01,1.8939393999999998,0.2,0.05,0.0010189632697273046,1
0.019090909,0.01,1.9090909,0.2,0.05,0.0010266203686066292,1
0.019090909,0.01,1.9090909,0.2,0.05,0.0010266203686066292,1
0.019242424,0.01,1.9242424,0.2,0.05,0.0010343251161015208,1
0.019242424,0.01,1.9242424,0.2,0.05,0.0010343251161015208,1
0.019393939,0.01,1.9393938999999998,0.2,0.05,0.001042073354941074,1
0.019393939,0.01,1.9393938999999998,0.2,0.05,0.001042073354941074,1
0.019545455,0.01,1.9545455,0.2,0.05,0.0010498611208733227,1
0.019545455,0.01,1.9545455,0.2,0.05,0.0010498611208733227,1
0.01969697,0.01,1.969697,0.2,0.05,0.0010576844326475763,1
0.01969697,0.01,1.969697,0.2,0.05,0.0010576844326475763,1
0.019848485,0.01,1.9848484999999998,0.2,0.05,0.001065539596409506,1
0.019848485,0.01,1.9848484999999998,0.2,0.05,0.001065539596409506,1
0.02,0.01,2,0.2,0.05,0.0010734229964151241,1
0.02,0.01,2,0.2,0.05,0.0010734229964151241,1
