a,sigma,beta,k,u_hat,delta,p_increase
0.017272727,0.01,1.7272727,0.2,0.05,9.392240464045384e-4,1
0.017272727,0.01,1.7272727,0.2,0.05,9.392240464045384e-4,1
0.017424242,0.01,1.7424242,0.2,0.05,9.460376058288192e-4,1
0.017424242,0.01,1.7424242,0.2,0.05,9.460376058288192e-4,1
0.017575758,0.01,1.7575758,0.2,0.05,9.52955250317186e-4,1
0.017575758,0.01,1.7575758,0.2,0.05,9.52955250317186e-4,1
0.017727273,0.01,1.7727273,0.2,0.05,9.599708619194886e-4,1
0.017727273,0.01,1.7727273,0.2,0.05,9.599708619194886e-4,1
0.017878788,0.01,1.7878788,0.2,0.05,9.670786556949596e-4,1
0.017878788,0.01,1.7878788,0.2,0.05,9.670786556949596e-4,1
0.018030303,0.01,1.8030303,0.2,0.05,9.742729919685922e-4,1
0.018030303,0.01,1.8030303,0.2,0.05,9.742729919685922e-4,1
0.018181818,0.01,1.8181818,0.2,0.05,9.815484160615293e-4,1
0.018181818,0.01,1.8181818,0.2,0.05,9.815484160615293e-4,1
0.018333333,0.01,1.8333333,0.2,0.05,9.888996528656826e-4,1
0.018333333,0.01,1.8333333,0.2,0.05,9.888996528656826e-4,1
0.018484848,0.01,1.8484848,0.2,0.05,9.963216015771745e-4,1
0.018484848,0.01,1.8484848,0.2,0.05,9.963216015771745e-4,1
0.018636364,0.01,1.8636364,0.2,0.05,0.00100380938020934,1
0.018636364,0.01,1.8636364,0.2,0.05,0.00100380938020934,1
0.018787879,0.01,1.8787879,0.2,0.05,0.00101135812251455,1
0.018787879,0.01,1.8787879,0.2,0.05,0.00101135812251455,1
0.018939394,0.01,1.8939394,0.2,0.05,0.0010189632697273,1
0.018939394,0.01,1.8939394,0.2,0.05,0.0010189632697273,1
0.019090909,0.01,1.9090909,0.2,0.05,0.00102662036860662,1
0.019090909,0.01,1.9090909,0.2,0.05,0.00102662036860662,1
0.019242424,0.01,1.9242424,0.2,0.05,0.00103432511610152,1
0.019242424,0.01,1.9242424,0.2,0.05,0.00103432511610152,1
0.019393939,0.01,1.9393939,0.2,0.05,0.00104207335494107,1
0.019393939,0.01,1.9393939,0.2,0.05,0.00104207335494107,1
0.019545455,0.01,1.9545455,0.2,0.05,0.00104986112087332,1
0.019545455,0.01,1.9545455,0.2,0.05,0.00104986112087332,1
0.01969697,0.01,1.969697,0.2,0.05,0.00105768443264757,1
0.01969697,0.01,1.969697,0.2,0.05,0.00105768443264757,1
0.019848485,0.01,1.9848485,0.2,0.05,0.0010655395964095,1
0.019848485,0.01,1.9848485,0.2,0.05,0.0010655395964095,1
0.02,0.01,2,0.2,0.05,0.00107342299641512,1
0.02,0.01,2,0.2,0.05,0.00107342299641512,1
