a,replicate,gen,num_dd, num_dwt, d_fitness
0.07,0,79,1,77,33.42
0.07,0,80,0,53,22.26
0.07,0,81,0,50,21.0
0.07,0,82,0,45,18.9
0.07,0,83,0,26,10.92
0.07,0,84,0,17,7.14
0.07,0,85,0,18,7.56
0.07,0,86,0,16,6.72
0.07,0,87,0,16,6.72
0.07,0,88,0,14,5.88
0.07,0,89,0,17,7.14
0.07,0,90,0,20,8.4
0.07,0,91,0,18,7.56
0.07,0,92,0,16,6.72
0.07,0,93,0,8,3.36
0.07,0,94,0,4,1.68
0.07,0,95,0,2,0.84
0.07,0,96,0,3,1.26
0.07,0,97,0,2,0.84
0.07,0,98,0,1,0.42
0.07,0,99,0,1,0.42
0.07,0,100,0,5,2.1
0.07,1,0,1875,0,2025.0
0.07,1,1,1568,637,1960.98
0.07,1,2,1506,865,1989.78
0.07,1,3,1409,1064,1968.6
0.07,1,4,1361,1115,1938.18
0.07,1,5,1365,1255,2001.3
0.07,1,6,1202,1286,1838.28
0.07,1,7,1280,1339,1944.78
0.07,1,8,1247,1470,1964.16
0.07,1,9,1305,1425,2007.9
0.07,1,10,1303,1600,2079.24
0.07,1,11,1319,1606,2099.04
0.07,1,12,1360,1562,2124.84
0.07,1,13,1461,1706,2294.4
0.07,1,14,1493,1685,2320.14
0.07,1,15,1512,1693,2344.02
0.07,1,16,1511,1676,2335.8
0.07,1,17,1501,1714,2340.96
0.07,1,18,1458,1711,2293.26
0.07,1,19,1458,1715,2294.94
0.07,1,20,1453,1798,2324.4
0.07,1,21,1422,1827,2303.1
0.07,1,22,1402,1724,2238.24
0.07,1,23,1395,1718,2228.16
0.07,1,24,1430,1706,2260.92
0.07,1,25,1502,1683,2329.02
0.07,1,26,1539,1671,2363.94
0.07,1,27,1590,1687,2425.74
0.07,1,28,1585,1606,2386.32
0.07,1,29,1637,1733,2495.82
0.07,1,30,1676,1714,2529.96
0.07,1,31,1750,1711,2608.62
0.07,1,32,1838,1675,2688.54
0.07,1,33,1965,1709,2839.98
0.07,1,34,1939,1796,2848.44
0.07,1,35,2065,1714,2950.08
0.07,1,36,1971,1807,2887.62
0.07,1,37,2065,1811,2990.82
0.07,1,38,2105,1831,3042.42
0.07,1,39,2148,1847,3095.58
0.07,1,40,2077,1773,2987.82
0.07,1,41,2121,1776,3036.6
0.07,1,42,2098,1778,3012.6
0.07,1,43,2155,1740,3058.2
0.07,1,44,2250,1809,3189.78
0.07,1,45,2386,1848,3353.04
0.07,1,46,2391,1751,3317.7
0.07,1,47,2447,1721,3365.58
0.07,1,48,2532,1866,3518.28
0.07,1,49,2480,1822,3443.64
0.07,1,50,2461,1804,3415.56
0.07,1,51,2616,1790,3577.08
0.07,1,52,2551,1817,3518.22
0.07,1,53,2636,1778,3593.64
0.07,1,54,2731,1886,3741.6
0.07,1,55,2740,1823,3724.86
0.07,1,56,2893,1796,3878.76
0.07,1,57,3043,1859,4067.22
0.07,1,58,3193,1773,4193.1
0.07,1,59,3309,1831,4342.74
0.07,1,60,3215,1782,4220.64
0.07,1,61,3312,1960,4400.16
0.07,1,62,3336,1905,4402.98
0.07,1,63,3328,1867,4378.38
0.07,1,64,3236,1996,4333.2
0.07,1,65,3226,1906,4284.6
0.07,1,66,3283,1889,4339.02
0.07,1,67,3402,1876,4462.08
0.07,1,68,3359,1749,4362.3
0.07,1,69,3411,1909,4485.66
0.07,1,70,3574,1885,4651.62
0.07,1,71,3738,1914,4840.92
0.07,1,72,3796,1881,4889.7
0.07,1,73,3713,1887,4802.58
0.07,1,74,3730,1859,4809.18
0.07,1,75,3935,1822,5015.04
0.07,1,76,3975,1836,5064.12
0.07,1,77,4063,1681,5094.06
0.07,1,78,4268,1691,5319.66
0.07,1,79,4234,1754,5309.4
0.07,1,80,4379,1664,5428.2
0.07,1,81,4371,1725,5445.18
0.07,1,82,4322,1677,5372.1
0.07,1,83,4336,1749,5417.46
0.07,1,84,4441,1669,5497.26
0.07,1,85,4530,1649,5584.98
0.07,1,86,4554,1718,5639.88
0.07,1,87,4569,1792,5687.16
0.07,1,88,4436,1749,5525.46
0.07,1,89,4587,1841,5727.18
0.07,1,90,4647,1701,5733.18
0.07,1,91,4797,1761,5920.38
0.07,1,92,4816,1697,5914.02
0.07,1,93,4808,1628,5876.4
0.07,1,94,5022,1693,6134.82
0.07,1,95,5069,1667,6174.66
0.07,1,96,5143,1629,6238.62
0.07,1,97,5051,1652,6148.92
0.07,1,98,5188,1640,6291.84
0.07,1,99,5244,1783,6412.38
0.07,1,100,5120,1853,6307.86
0.07,2,0,1782,0,1924.56
0.07,2,1,1545,683,1955.46
0.07,2,2,1491,895,1986.18
0.07,2,3,1359,1046,1907.04
0.07,2,4,1411,1113,1991.34
0.07,2,5,1299,1163,1891.38
0.07,2,6,1270,1162,1859.64
0.07,2,7,1306,1281,1948.5
0.07,2,8,1370,1331,2038.62
0.07,2,9,1316,1465,2036.58
0.07,2,10,1254,1471,1972.14
0.07,2,11,1260,1396,1947.12
0.07,2,12,1241,1516,1977.0
0.07,2,13,1398,1561,2165.46
0.07,2,14,1448,1567,2221.98
0.07,2,15,1428,1572,2202.48
0.07,2,16,1394,1548,2155.68
0.07,2,17,1441,1598,2227.44
0.07,2,18,1449,1535,2209.62
0.07,2,19,1548,1629,2356.02
0.07,2,20,1546,1719,2391.66
0.07,2,21,1610,1775,2484.3
0.07,2,22,1595,1727,2447.94
0.07,2,23,1550,1776,2419.92
0.07,2,24,1651,1693,2494.14
0.07,2,25,1658,1735,2519.34
0.07,2,26,1680,1707,2531.34
0.07,2,27,1734,1692,2583.36
0.07,2,28,1764,1691,2615.34
0.07,2,29,1823,1789,2720.22
0.07,2,30,1862,1723,2734.62
0.07,2,31,1898,1663,2748.3
0.07,2,32,2015,1788,2927.16
0.07,2,33,2012,1813,2934.42
0.07,2,34,2092,1809,3019.14
0.07,2,35,2042,1765,2946.66
0.07,2,36,2153,1768,3067.8
0.07,2,37,2158,1773,3075.3
0.07,2,38,2145,1701,3031.02
0.07,2,39,2218,1642,3085.08
0.07,2,40,2376,1627,3249.42
0.07,2,41,2414,1589,3274.5
0.07,2,42,2578,1668,3484.8
0.07,2,43,2452,1583,3313.02
0.07,2,44,2570,1605,3449.7
0.07,2,45,2610,1613,3496.26
0.07,2,46,2787,1752,3745.8
0.07,2,47,2716,1637,3620.82
0.07,2,48,2760,1757,3718.74
0.07,2,49,2817,1773,3787.02
0.07,2,50,2863,1723,3815.7
0.07,2,51,2922,1795,3909.66
0.07,2,52,3059,1782,4052.16
0.07,2,53,3067,1753,4048.62
0.07,2,54,3104,1751,4087.74
0.07,2,55,3099,1726,4071.84
0.07,2,56,3291,1736,4283.4
0.07,2,57,3461,1711,4456.5
0.07,2,58,3613,1750,4637.04
0.07,2,59,3633,1686,4631.76
0.07,2,60,3725,1720,4745.4
0.07,2,61,3845,1687,4861.14
0.07,2,62,3883,1740,4924.44
0.07,2,63,3820,1693,4836.66
0.07,2,64,3786,1789,4840.26
0.07,2,65,3888,1844,4973.52
0.07,2,66,3977,1846,5070.48
0.07,2,67,4192,1851,5304.78
0.07,2,68,3995,1815,5076.9
0.07,2,69,3930,1854,5023.08
0.07,2,70,4074,1908,5201.28
0.07,2,71,4179,1881,5303.34
0.07,2,72,4281,1821,5388.3
0.07,2,73,4268,1841,5382.66
0.07,2,74,4327,1753,5409.42
0.07,2,75,4321,1787,5417.22
0.07,2,76,4324,1781,5417.94
0.07,2,77,4484,1696,5555.04
0.07,2,78,4438,1744,5525.52
0.07,2,79,4537,1795,5653.86
0.07,2,80,4658,1818,5794.2
0.07,2,81,4517,1805,5636.46
0.07,2,82,4708,1745,5817.54
0.07,2,83,4868,1832,6026.88
0.07,2,84,4998,1783,6146.7
0.07,2,85,4924,1762,6057.96
0.07,2,86,4889,1771,6023.94
0.07,2,87,5068,1684,6180.72
0.07,2,88,5253,1733,6401.1
0.07,2,89,5180,1749,6328.98
0.07,2,90,5341,1714,6488.16
0.07,2,91,5543,1714,6706.32
0.07,2,92,5530,1771,6716.22
0.07,2,93,5526,1731,6695.1
0.07,2,94,5500,1673,6642.66
0.07,2,95,5433,1752,6603.48
0.07,2,96,5623,1743,6804.9
0.07,2,97,5752,1746,6945.48
0.07,2,98,6033,1743,7247.7
0.07,2,99,5943,1715,7138.74
0.07,2,100,5765,1673,6928.86
0.07,3,0,1850,0,1998.0
0.07,3,1,1569,627,1957.86
0.07,3,2,1391,865,1865.58
0.07,3,3,1262,982,1775.4
0.07,3,4,1280,1068,1830.96
0.07,3,5,1280,1183,1879.26
0.07,3,6,1344,1383,2032.38
0.07,3,7,1301,1455,2016.18
0.07,3,8,1263,1362,1936.08
0.07,3,9,1311,1480,2037.48
0.07,3,10,1304,1395,1994.22
0.07,3,11,1277,1538,2025.12
0.07,3,12,1348,1582,2120.28
0.07,3,13,1353,1623,2142.9
0.07,3,14,1365,1580,2137.8
0.07,3,15,1312,1611,2093.58
0.07,3,16,1385,1615,2174.1
0.07,3,17,1420,1571,2193.42
0.07,3,18,1441,1646,2247.6
0.07,3,19,1410,1622,2204.04
0.07,3,20,1457,1591,2241.78
0.07,3,21,1491,1658,2306.64
0.07,3,22,1513,1678,2338.8
0.07,3,23,1645,1862,2558.64
0.07,3,24,1728,1779,2613.42
0.07,3,25,1655,1931,2598.42
0.07,3,26,1611,1995,2577.78
0.07,3,27,1627,2024,2607.24
0.07,3,28,1621,1925,2559.18
0.07,3,29,1616,1938,2559.24
0.07,3,30,1658,1864,2573.52
0.07,3,31,1652,1783,2533.02
0.07,3,32,1708,1863,2627.1
0.07,3,33,1740,1894,2674.68
0.07,3,34,1847,1843,2768.82
0.07,3,35,1886,1820,2801.28
0.07,3,36,1877,1849,2803.74
0.07,3,37,1939,1831,2863.14
0.07,3,38,1986,1852,2922.72
0.07,3,39,2127,1906,3097.68
0.07,3,40,2169,1883,3133.38
0.07,3,41,2196,1876,3159.6
0.07,3,42,2381,1909,3373.26
0.07,3,43,2385,1828,3343.56
0.07,3,44,2356,1646,3235.8
0.07,3,45,2370,1777,3305.94
0.07,3,46,2519,1808,3479.88
0.07,3,47,2644,1805,3613.62
0.07,3,48,2666,1769,3622.26
0.07,3,49,2741,1801,3716.7
0.07,3,50,2872,1784,3851.04
0.07,3,51,2896,1790,3879.48
0.07,3,52,2960,1651,3890.22
0.07,3,53,2996,1665,3934.98
0.07,3,54,2987,1724,3950.04
0.07,3,55,3102,1689,4059.54
0.07,3,56,3103,1735,4079.94
0.07,3,57,3215,1608,4147.56
0.07,3,58,3167,1581,4084.38
0.07,3,59,3097,1696,4057.08
0.07,3,60,3260,1655,4215.9
0.07,3,61,3384,1725,4379.22
0.07,3,62,3476,1693,4465.14
0.07,3,63,3593,1622,4561.68
0.07,3,64,3767,1648,4760.52
0.07,3,65,3745,1724,4768.68
0.07,3,66,3874,1705,4900.02
0.07,3,67,3914,1746,4960.44
0.07,3,68,4007,1753,5063.82
0.07,3,69,4005,1839,5097.78
0.07,3,70,4004,1814,5086.2
0.07,3,71,4019,1758,5078.88
0.07,3,72,4047,1714,5090.64
0.07,3,73,4261,1774,5346.96
0.07,3,74,4349,1662,5394.96
0.07,3,75,4519,1727,5605.86
0.07,3,76,4430,1758,5522.76
0.07,3,77,4462,1819,5582.94
0.07,3,78,4589,1758,5694.48
0.07,3,79,4584,1716,5671.44
0.07,3,80,4546,1754,5646.36
0.07,3,81,4684,1804,5816.4
0.07,3,82,4799,1872,5969.16
0.07,3,83,4944,1976,6169.44
0.07,3,84,5022,1802,6180.6
0.07,3,85,5149,1833,6330.78
0.07,3,86,5269,1719,6412.5
0.07,3,87,5245,1749,6399.18
0.07,3,88,5534,1770,6720.12
0.07,3,89,5613,1738,6792.0
0.07,3,90,5418,1704,6567.12
0.07,3,91,5602,1761,6789.78
0.07,3,92,5656,1759,6847.26
0.07,3,93,5729,1745,6920.22
0.07,3,94,5622,1717,6792.9
0.07,3,95,5730,1756,6925.92
0.07,3,96,5795,1849,7035.18
0.07,3,97,5959,1750,7170.72
0.07,3,98,6001,1695,7192.98
0.07,3,99,5916,1689,7098.66
0.07,3,100,5934,1726,7133.64
0.07,4,0,1797,0,1940.76
0.07,4,1,1531,629,1917.66
0.07,4,2,1439,826,1901.04
0.07,4,3,1388,1007,1921.98
