a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.47,31,0.173913,0.154762,0.0,0.0269436,0.347826,0.228905,0.652174,0.744151
0.0688,1,0.5,31,0.133333,0.102941,0.0,0.0117828,0.266667,0.159723,0.733333,0.828494
0.0688,1,0.54,31,0.05,0.076087,0.05,0.00639322,0.0,0.120761,0.95,0.872846
0.0688,1,0.47,32,0.1,0.112676,0.0,0.0141499,0.2,0.173336,0.8,0.812514
0.0688,1,0.5,32,0.125,0.133929,0.0,0.0200886,0.25,0.202077,0.75,0.777835
0.0688,1,0.54,32,0.0833333,0.0942029,0.0,0.00984598,0.166667,0.147269,0.833333,0.842885
0.0688,1,0.47,33,0.0357143,0.0446429,0.0,0.00218185,0.0714286,0.0726315,0.928571,0.925187
0.0688,1,0.5,33,0.0,0.0365854,0.0,0.0014619,0.0,0.0598838,1.0,0.938654
0.0688,1,0.54,33,0.148649,0.139706,0.0540541,0.0218867,0.189189,0.209652,0.756757,0.768461
0.0688,1,0.47,34,0.0125,0.0208333,0.0,0.000471814,0.025,0.0344948,0.975,0.965033
0.0688,1,0.5,34,0.119048,0.151163,0.0,0.0256859,0.238095,0.224368,0.761905,0.749947
0.0688,1,0.54,34,0.131579,0.123077,0.0263158,0.0169238,0.210526,0.187572,0.763158,0.795505
0.0688,1,0.47,35,0.0483871,0.0344828,0.0,0.00129789,0.0967742,0.0565303,0.903226,0.942172
0.0688,1,0.5,35,0.0625,0.0785714,0.0,0.00682203,0.125,0.12445,0.875,0.868728
0.0688,1,0.54,35,0.0322581,0.0508475,0.0,0.00283551,0.0645161,0.0823347,0.935484,0.91483
0.0688,1,0.47,36,0.0,0.00757576,0.0,6.21327e-05,0.0,0.0126613,1.0,0.987277
0.0688,1,0.5,36,0.0285714,0.027027,0.0,0.000795545,0.0571429,0.0445505,0.942857,0.954654
0.0688,1,0.54,36,0.06,0.0480769,0.0,0.00253293,0.12,0.0780142,0.88,0.919453
0.0688,1,0.47,37,0.0138889,0.00769231,0.0,6.40615e-05,0.0277778,0.012855,0.972222,0.987081
0.0688,1,0.5,37,0.0740741,0.0652174,0.0,0.00468334,0.148148,0.104421,0.851852,0.890895
0.0688,1,0.54,37,0.0128205,0.0205479,0.0,0.000458936,0.025641,0.0340292,0.974359,0.965512
0.0688,1,0.47,38,0.0,0.0178571,0.0,0.000346323,0.0,0.0296298,1.0,0.970024
0.0688,1,0.5,38,0.0172414,0.00943396,0.0,9.64072e-05,0.0344828,0.0157465,0.965517,0.984157
0.0688,1,0.54,38,0.0121951,0.028169,0.0,0.000864491,0.0243902,0.0463944,0.97561,0.952741
0.0688,1,0.47,39,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,39,0.0,0.0166667,0.0,0.000301575,0.0,0.0276779,1.0,0.972021
0.0688,1,0.54,39,0.125,0.103448,0.09375,0.0119007,0.0625,0.160439,0.84375,0.827661
0.0688,1,0.47,40,0.0,0.0106383,0.0,0.000122639,0.0,0.0177418,1.0,0.982136
0.0688,1,0.5,40,0.0217391,0.0454545,0.0,0.00226244,0.0434783,0.0739065,0.956522,0.923831
0.0688,1,0.54,40,0.0,0.00862069,0.0,8.04812e-05,0.0,0.0143972,1.0,0.985522
0.0688,1,0.47,41,0.0609756,0.0526316,0.0,0.00303951,0.121951,0.0851064,0.878049,0.911854
0.0688,1,0.5,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,41,0.0,0.00847458,0.0,7.77726e-05,0.0,0.0141546,1.0,0.985768
0.0688,1,0.47,42,0.0806452,0.0737705,0.0645161,0.00600616,0.0322581,0.117306,0.903226,0.876688
0.0688,1,0.5,42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,43,0.0,0.01,0.0,0.000108342,0.0,0.0166847,1.0,0.983207
0.0688,1,0.47,44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,44,0.0166667,0.0175439,0.0,0.000334245,0.0333333,0.0291165,0.966667,0.970549
0.0688,1,0.47,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,47,0.0,0.01,0.0,0.000108342,0.0,0.0166847,1.0,0.983207
0.0688,1,0.54,47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,51,0.075,0.0434783,0.0,0.00206881,0.15,0.0707992,0.85,0.927132
0.0688,1,0.54,51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,52,0.0,0.00684932,0.0,5.07765e-05,0.0,0.0114529,1.0,0.988496
0.0688,1,0.5,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,56,0.0,0.00704225,0.0,5.36807e-05,0.0,0.011774,1.0,0.988172
0.0688,1,0.5,56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,57,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.47,58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
