a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.54,29,0.558824,0.5,0.235294,0.287234,0.647059,0.446809,0.117647,0.265957
0.0688,1,0.47,30,0.71875,0.55,0.5,0.345714,0.4375,0.44,0.0625,0.214286
0.0688,1,0.5,30,0.704545,0.663462,0.454545,0.493269,0.5,0.389214,0.0454545,0.117516
0.0688,1,0.54,30,0.296296,0.336364,0.111111,0.130321,0.37037,0.399965,0.518519,0.469714
0.0688,1,0.47,31,0.62963,0.546296,0.444444,0.341232,0.37037,0.440839,0.185185,0.217929
0.0688,1,0.5,31,0.607143,0.632353,0.428571,0.450984,0.357143,0.407866,0.214286,0.14115
0.0688,1,0.54,31,0.210526,0.244186,0.105263,0.0680937,0.210526,0.327859,0.684211,0.604048
0.0688,1,0.47,32,0.75,0.695122,0.65,0.537525,0.2,0.366732,0.15,0.0957426
0.0688,1,0.5,32,0.838235,0.769841,0.676471,0.646068,0.323529,0.300462,0.0,0.0534696
0.0688,1,0.54,32,0.56,0.482456,0.44,0.267796,0.24,0.446867,0.32,0.285337
0.0688,1,0.47,33,0.5,0.5,0.214286,0.287234,0.571429,0.446809,0.214286,0.265957
0.0688,1,0.5,33,0.782609,0.826923,0.695652,0.731987,0.173913,0.238321,0.130435,0.0296912
0.0688,1,0.54,33,0.3125,0.351852,0.0,0.142704,0.625,0.408919,0.375,0.448376
0.0688,1,0.47,34,0.583333,0.625,0.5,0.441176,0.166667,0.411765,0.333333,0.147059
0.0688,1,0.5,34,0.782609,0.696078,0.608696,0.53888,0.347826,0.366,0.0434783,0.0951206
0.0688,1,0.54,34,0.288462,0.307018,0.0,0.108361,0.576923,0.380467,0.423077,0.511172
0.0688,1,0.47,35,0.5,0.532895,0.222222,0.325211,0.555556,0.443429,0.222222,0.23136
0.0688,1,0.5,35,0.797297,0.725806,0.675676,0.581463,0.243243,0.341699,0.0810811,0.0768372
0.0688,1,0.54,35,0.583333,0.485714,0.333333,0.271362,0.5,0.446948,0.166667,0.28169
0.0688,1,0.47,36,0.7,0.663793,0.485714,0.493727,0.428571,0.388997,0.0857143,0.117276
0.0688,1,0.5,36,0.790323,0.763636,0.709677,0.636866,0.16129,0.306639,0.129032,0.0564953
0.0688,1,0.54,36,0.487805,0.453947,0.268293,0.237476,0.439024,0.444359,0.292683,0.318166
0.0688,1,0.47,37,0.777778,0.663043,0.611111,0.492693,0.333333,0.389488,0.0555556,0.117819
0.0688,1,0.5,37,0.84,0.78,0.68,0.661198,0.32,0.290098,0.0,0.0487039
0.0688,1,0.54,37,0.525,0.452381,0.45,0.235856,0.15,0.444127,0.4,0.320016
0.0688,1,0.47,38,0.869565,0.77907,0.73913,0.659809,0.26087,0.29106,0.0,0.0491306
0.0688,1,0.5,38,0.605263,0.635714,0.447368,0.455492,0.315789,0.406019,0.236842,0.13849
0.0688,1,0.54,38,0.59375,0.5125,0.3125,0.301435,0.5625,0.446025,0.125,0.25254
0.0688,1,0.47,39,0.5625,0.588235,0.25,0.393299,0.625,0.428259,0.125,0.178441
0.0688,1,0.5,39,0.68,0.67,0.48,0.502313,0.4,0.384856,0.12,0.112831
0.0688,1,0.54,39,0.534483,0.5,0.241379,0.287234,0.586207,0.446809,0.172414,0.265957
0.0688,1,0.47,40,0.7,0.661765,0.533333,0.490931,0.333333,0.390321,0.133333,0.118748
0.0688,1,0.5,40,0.671875,0.676923,0.375,0.511944,0.59375,0.380079,0.03125,0.107977
0.0688,1,0.54,40,0.416667,0.46875,0.125,0.25302,0.583333,0.446064,0.291667,0.300916
0.0688,1,0.47,41,0.558824,0.613636,0.294118,0.426168,0.529412,0.417399,0.176471,0.156433
0.0688,1,0.5,41,0.826087,0.75,0.695652,0.616751,0.26087,0.319797,0.0434783,0.0634518
0.0688,1,0.54,41,0.456522,0.489796,0.26087,0.275857,0.391304,0.446991,0.347826,0.277152
0.0688,1,0.47,42,0.404762,0.442308,0.238095,0.225561,0.333333,0.442405,0.428571,0.332033
0.0688,1,0.5,42,0.733333,0.669643,0.566667,0.501817,0.333333,0.385098,0.1,0.113084
0.0688,1,0.54,42,0.666667,0.622222,0.47619,0.437491,0.380952,0.413186,0.142857,0.149323
0.0688,1,0.47,43,0.520833,0.519608,0.208333,0.309637,0.625,0.445305,0.166667,0.245058
0.0688,1,0.5,43,0.7,0.716667,0.485714,0.568275,0.428571,0.349482,0.0857143,0.0822425
0.0688,1,0.54,43,0.717391,0.633333,0.521739,0.452297,0.391304,0.407332,0.0869565,0.140371
0.0688,1,0.47,44,0.214286,0.328571,0.0714286,0.124297,0.285714,0.395109,0.642857,0.480594
0.0688,1,0.5,44,0.705882,0.689655,0.470588,0.529801,0.470588,0.370861,0.0588235,0.0993377
0.0688,1,0.54,44,0.352941,0.465116,0.0588235,0.249164,0.588235,0.445726,0.352941,0.30511
0.0688,1,0.47,45,0.636364,0.58,0.318182,0.382853,0.636364,0.431259,0.0454545,0.185888
0.0688,1,0.5,45,0.55,0.579545,0.3,0.382279,0.5,0.431418,0.2,0.186303
0.0688,1,0.54,45,0.807692,0.694444,0.692308,0.536566,0.230769,0.36725,0.0769231,0.0961844
0.0688,1,0.47,46,0.629032,0.58209,0.516129,0.385493,0.225806,0.430523,0.258065,0.183984
0.0688,1,0.5,46,0.651515,0.658333,0.424242,0.486213,0.454545,0.392527,0.121212,0.12126
0.0688,1,0.54,46,0.766667,0.677966,0.566667,0.513399,0.4,0.379345,0.0333333,0.107255
0.0688,1,0.47,47,0.64,0.556604,0.48,0.353763,0.32,0.438373,0.2,0.207864
0.0688,1,0.5,47,0.75,0.745283,0.5,0.60983,0.5,0.324213,0.0,0.0659566
0.0688,1,0.54,47,0.75,0.674419,0.6,0.508453,0.3,0.381827,0.1,0.10972
0.0688,1,0.47,48,0.533333,0.560976,0.4,0.359131,0.266667,0.437203,0.333333,0.203666
0.0688,1,0.5,48,0.714286,0.686047,0.428571,0.524721,0.571429,0.37353,0.0,0.101749
0.0688,1,0.54,48,0.651515,0.611111,0.484848,0.422858,0.333333,0.418587,0.181818,0.158556
0.0688,1,0.47,49,0.576923,0.555556,0.384615,0.35248,0.384615,0.438642,0.230769,0.208877
0.0688,1,0.5,49,0.671875,0.661538,0.40625,0.49062,0.53125,0.390467,0.0625,0.118913
0.0688,1,0.54,49,0.666667,0.645161,0.466667,0.468242,0.4,0.400607,0.133333,0.131151
0.0688,1,0.47,50,0.555556,0.55,0.277778,0.345714,0.555556,0.44,0.166667,0.214286
0.0688,1,0.5,50,0.842105,0.75,0.684211,0.616751,0.315789,0.319797,0.0,0.0634518
0.0688,1,0.54,50,0.621212,0.583333,0.363636,0.387068,0.515152,0.430076,0.121212,0.182855
0.0688,1,0.47,51,0.357143,0.434211,0.142857,0.217436,0.428571,0.440729,0.428571,0.341835
0.0688,1,0.5,51,0.75,0.671053,0.5625,0.503773,0.375,0.384141,0.0625,0.112086
0.0688,1,0.54,51,0.3125,0.402174,0.0833333,0.186627,0.458333,0.43154,0.458333,0.381833
0.0688,1,0.47,52,0.4,0.46875,0.1,0.25302,0.6,0.446064,0.3,0.300916
0.0688,1,0.5,52,0.625,0.652174,0.5,0.477782,0.25,0.396382,0.25,0.125836
0.0688,1,0.54,52,0.911765,0.744444,0.882353,0.608602,0.0588235,0.324991,0.0588235,0.0664072
0.0688,1,0.47,53,0.478261,0.5,0.304348,0.287234,0.347826,0.446809,0.347826,0.265957
0.0688,1,0.5,53,0.795455,0.718182,0.590909,0.570456,0.409091,0.348211,0.0,0.0813332
0.0688,1,0.54,53,0.608696,0.568182,0.391304,0.368048,0.434783,0.435115,0.173913,0.196838
0.0688,1,0.47,54,0.5,0.5,0.3,0.287234,0.4,0.446809,0.3,0.265957
0.0688,1,0.5,54,0.909091,0.827586,0.818182,0.732997,0.181818,0.237545,0.0,0.0294575
0.0688,1,0.54,54,0.392857,0.514286,0.142857,0.303487,0.5,0.445863,0.357143,0.25065
0.0688,1,0.47,55,0.521739,0.476744,0.347826,0.261594,0.347826,0.446623,0.304348,0.291783
0.0688,1,0.5,55,0.705882,0.62987,0.441176,0.447664,0.529412,0.409205,0.0294118,0.143131
0.0688,1,0.54,55,0.5,0.492647,0.258065,0.279016,0.483871,0.446981,0.258065,0.274002
0.0688,1,0.47,56,0.515625,0.508065,0.3125,0.296363,0.40625,0.446374,0.28125,0.257264
0.0688,1,0.5,56,0.645161,0.626761,0.387097,0.443518,0.516129,0.410849,0.0967742,0.145633
0.0688,1,0.54,56,0.621622,0.568182,0.378378,0.368048,0.486486,0.435115,0.135135,0.196838
0.0688,1,0.47,57,0.479167,0.529412,0.25,0.321098,0.458333,0.443988,0.291667,0.234914
0.0688,1,0.5,57,0.689189,0.644928,0.432432,0.467925,0.513514,0.400745,0.0540541,0.13133
