a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.0688,1,0.47,40,0.0,0.0322059,0.0,0.00153632,0.0,0.0613391,1.0,0.937125
0.0688,1,0.5,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,40,0.0,0.0157289,0.0,0.000372527,0.0,0.0307128,0.755102,0.968915
0.0688,1,0.47,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,41,0.0185185,0.0,0.0,0.0,0.125,0.0,3.25,1.0
0.0688,1,0.47,42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,42,0.0,0.0157289,0.0,0.000372527,0.0,0.0307128,1.6087,0.968915
0.0688,1,0.47,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,43,0.0,0.0,0.0,0.0,0.0,0.0,1.66667,1.0
0.0688,1,0.47,44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,44,0.0,0.0,0.0,0.0,0.0,0.0,0.575758,1.0
0.0688,1,0.47,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,45,0.0,0.0,0.0,0.0,0.0,0.0,1.12903,1.0
0.0688,1,0.47,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,46,0.0,0.0,0.0,0.0,0.0,0.0,0.736842,1.0
0.0688,1,0.47,47,0.0147059,0.0,0.0,0.0,0.0294118,0.0,0.970588,1.0
0.0688,1,0.5,47,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,47,0.0,0.0,0.0,0.0,0.0,0.0,1.125,1.0
0.0688,1,0.47,48,0.0,0.0124624,0.0,0.000234648,0.0,0.0244555,1.0,0.97531
0.0688,1,0.5,48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,48,0.0,0.0,0.0,0.0,0.0,0.0,0.583333,1.0
0.0688,1,0.47,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,49,0.0,0.0,0.0,0.0,0.0,0.0,0.941176,1.0
0.0688,1,0.47,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.5,50,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0688,1,0.54,50,0.0,0.0,0.0,0.0,0.0,0.0,0.675676,1.0
