a,replicate_number,x,gen,d_allele_freq, exp_d_allele_freq, dd_freq, exp_dd_freq, dwt_freq, exp_dwt_freq, wtwt_freq, exp_wtwt_freq
0.08,1,0.47,35,0.875,0.89525,0.75,0.805725,0.25,0.17905,0.0,0.0152253
0.08,1,0.5,35,0.7,0.725926,0.6,0.544444,0.2,0.362963,0.2,0.0925926
0.08,1,0.54,35,0.76,0.574927,0.933333,0.631487,0.666667,0.310204,0.0666667,0.058309
0.08,1,0.47,36,0.833333,0.857143,0.714286,0.741758,0.238095,0.230769,0.047619,0.0274725
0.08,1,0.5,36,0.783784,0.809932,0.594595,0.666853,0.378378,0.286159,0.027027,0.0469883
0.08,1,0.54,36,0.75,0.788857,0.513514,0.616751,0.432432,0.319797,0.027027,0.0634518
0.08,1,0.47,37,0.8,0.8256,0.6,0.6912,0.4,0.2688,0.0,0.04
0.08,1,0.5,37,0.763158,0.789713,0.684211,0.636157,0.157895,0.30711,0.157895,0.0567322
0.08,1,0.54,37,0.833333,0.756593,0.894737,0.741758,0.315789,0.230769,0.0526316,0.0274725
0.08,1,0.47,38,0.555556,0.571802,0.277778,0.35248,0.555556,0.438642,0.166667,0.208877
0.08,1,0.5,38,0.913793,0.929336,0.827586,0.865807,0.172414,0.127058,0.0,0.00713487
0.08,1,0.54,38,0.716667,0.887877,0.517241,0.568275,0.448276,0.349482,0.0689655,0.0822425
0.08,1,0.47,39,0.890625,0.909144,0.78125,0.829877,0.21875,0.158534,0.0,0.0115887
0.08,1,0.5,39,0.958333,0.966741,0.958333,0.935119,0.0,0.0632447,0.0416667,0.00163677
0.08,1,0.54,39,0.738095,0.738769,0.458333,0.599321,0.375,0.330808,0.0416667,0.0698711
0.08,1,0.47,40,0.763889,0.790435,0.527778,0.63724,0.472222,0.30639,0.0,0.0563704
0.08,1,0.5,40,0.826087,0.850364,0.652174,0.730714,0.347826,0.239298,0.0,0.0299873
0.08,1,0.54,40,0.805556,0.749407,0.478261,0.699581,0.304348,0.262678,0.0,0.0377411
0.08,1,0.47,41,0.815789,0.840655,0.631579,0.715069,0.368421,0.251171,0.0,0.0337596
0.08,1,0.5,41,0.975,0.980248,0.95,0.961081,0.05,0.0383337,0.0,0.000585069
0.08,1,0.54,41,0.86,0.815574,0.95,0.782615,0.25,0.198182,0.05,0.0192036
0.08,1,0.47,42,0.708333,0.734493,0.5,0.556324,0.416667,0.356338,0.0833333,0.0873378
0.08,1,0.5,42,0.9,0.917375,0.8,0.844402,0.2,0.145946,0.0,0.00965251
0.08,1,0.54,42,0.806452,0.898035,0.95,0.700935,0.6,0.261682,0.0,0.0373832
0.08,1,0.47,43,0.863636,0.885007,0.727273,0.78821,0.272727,0.193595,0.0,0.0181951
0.08,1,0.5,43,0.846154,0.869028,0.692308,0.761361,0.307692,0.215334,0.0,0.0233046
0.08,1,0.54,43,0.761905,0.843297,0.846154,0.634303,0.769231,0.308342,0.0,0.0573552
0.08,1,0.47,44,0.8,0.8256,0.733333,0.6912,0.133333,0.2688,0.133333,0.04
0.08,1,0.5,44,0.962963,0.97052,0.925926,0.942331,0.0740741,0.0563787,0.0,0.00129072
0.08,1,0.54,44,0.868421,0.761227,0.518519,0.795579,0.185185,0.18751,0.0,0.0169111
0.08,1,0.47,45,0.84375,0.86681,0.6875,0.75768,0.3125,0.218262,0.0,0.0240588
0.08,1,0.5,45,0.934211,0.946717,0.868421,0.897555,0.131579,0.0983237,0.0,0.00412155
0.08,1,0.54,45,0.85,0.895252,0.578947,0.767257,0.184211,0.210619,0.0263158,0.0221239
0.08,1,0.47,46,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
