m, replicate_number, generation, num_drive_alleles
1210,3,63,34566
1210,3,64,34254
1210,3,65,34634
1210,3,66,34408
1210,3,67,34600
1210,3,68,35384
1210,3,69,34850
1210,3,70,35208
1210,3,71,35038
1210,3,72,35120
1210,3,73,35170
1210,3,74,35627
1210,3,75,35955
1210,3,76,35678
1210,3,77,36222
1210,3,78,36255
1210,3,79,35900
1210,3,80,36380
1210,3,81,37085
1210,3,82,37168
1210,3,83,37405
1210,3,84,37474
1210,3,85,37200
1210,3,86,37501
1210,3,87,37097
1210,3,88,37296
1210,3,89,37538
1210,3,90,37682
1210,3,91,37976
1210,3,92,38566
1210,3,93,38572
1210,3,94,38880
1210,3,95,39220
1210,3,96,39357
1210,3,97,39264
1210,3,98,39292
1210,3,99,38854
1210,3,100,39236
,,,
1210,4,0,2420
1210,4,1,2517
1210,4,2,2653
1210,4,3,2602
1210,4,4,2725
1210,4,5,2754
1210,4,6,2888
1210,4,7,2911
1210,4,8,3109
1210,4,9,3245
1210,4,10,3434
1210,4,11,3642
1210,4,12,3799
1210,4,13,3910
1210,4,14,4166
1210,4,15,4523
1210,4,16,4850
1210,4,17,5179
1210,4,18,5973
1210,4,19,6534
1210,4,20,7025
1210,4,21,7796
1210,4,22,8769
1210,4,23,9682
1210,4,24,10723
1210,4,25,12089
1210,4,26,13336
1210,4,27,14910
1210,4,28,16284
1210,4,29,17847
1210,4,30,19397
1210,4,31,20600
1210,4,32,21998
1210,4,33,23363
1210,4,34,24577
1210,4,35,25488
1210,4,36,26133
1210,4,37,27078
1210,4,38,27680
1210,4,39,28323
1210,4,40,29256
1210,4,41,29997
1210,4,42,30409
1210,4,43,30566
1210,4,44,30803
1210,4,45,30946
1210,4,46,31253
1210,4,47,32352
1210,4,48,32518
1210,4,49,32664
1210,4,50,32748
1210,4,51,32933
1210,4,52,32417
1210,4,53,32489
1210,4,54,32384
1210,4,55,32581
1210,4,56,32832
1210,4,57,32638
1210,4,58,32712
1210,4,59,33013
1210,4,60,33279
1210,4,61,33354
1210,4,62,34029
1210,4,63,33378
1210,4,64,33455
1210,4,65,33593
1210,4,66,33994
1210,4,67,34024
1210,4,68,34111
1210,4,69,34276
1210,4,70,35049
1210,4,71,35535
1210,4,72,35437
1210,4,73,35399
1210,4,74,35801
1210,4,75,35974
1210,4,76,36103
1210,4,77,36611
1210,4,78,36065
1210,4,79,36457
1210,4,80,36122
1210,4,81,36401
1210,4,82,37094
1210,4,83,37420
1210,4,84,37425
1210,4,85,37277
1210,4,86,37665
1210,4,87,37587
1210,4,88,37835
1210,4,89,37949
1210,4,90,38347
1210,4,91,38524
1210,4,92,38175
1210,4,93,38338
1210,4,94,38766
1210,4,95,38293
1210,4,96,38491
1210,4,97,38877
1210,4,98,38933
1210,4,99,39291
1210,4,100,39432
,,,
1210,5,0,2420
1210,5,1,2404
1210,5,2,2562
1210,5,3,2695
1210,5,4,2798
1210,5,5,2934
1210,5,6,2934
1210,5,7,3033
1210,5,8,3002
1210,5,9,3165
1210,5,10,3307
1210,5,11,3406
1210,5,12,3701
1210,5,13,3807
1210,5,14,3957
1210,5,15,4227
1210,5,16,4560
1210,5,17,4772
1210,5,18,5053
1210,5,19,5260
1210,5,20,5514
1210,5,21,5998
1210,5,22,6487
1210,5,23,6831
1210,5,24,7498
1210,5,25,8071
1210,5,26,8880
1210,5,27,9909
1210,5,28,11129
1210,5,29,12196
1210,5,30,13603
1210,5,31,14714
1210,5,32,16054
1210,5,33,17300
1210,5,34,18845
1210,5,35,20012
1210,5,36,21649
1210,5,37,22835
1210,5,38,24093
1210,5,39,25188
1210,5,40,26237
1210,5,41,26787
1210,5,42,27723
1210,5,43,28850
1210,5,44,29091
1210,5,45,29793
1210,5,46,30040
1210,5,47,30658
1210,5,48,30780
1210,5,49,31170
1210,5,50,31176
1210,5,51,31392
1210,5,52,31682
1210,5,53,31869
1210,5,54,32086
1210,5,55,32433
1210,5,56,32176
1210,5,57,32523
1210,5,58,32641
1210,5,59,32765
1210,5,60,32765
1210,5,61,32876
1210,5,62,33069
1210,5,63,33408
1210,5,64,33655
1210,5,65,33893
1210,5,66,33956
1210,5,67,34171
1210,5,68,33776
1210,5,69,34181
1210,5,70,34602
1210,5,71,34744
1210,5,72,34939
1210,5,73,34692
1210,5,74,34956
1210,5,75,35327
1210,5,76,35370
1210,5,77,35771
1210,5,78,35614
1210,5,79,35991
1210,5,80,36148
1210,5,81,36176
1210,5,82,36551
1210,5,83,36742
1210,5,84,36966
1210,5,85,36410
1210,5,86,37414
1210,5,87,37397
1210,5,88,37425
1210,5,89,37698
1210,5,90,38749
1210,5,91,38557
1210,5,92,38488
1210,5,93,38923
1210,5,94,38964
1210,5,95,39795
1210,5,96,39846
1210,5,97,39819
1210,5,98,40302
1210,5,99,40278
1210,5,100,39993
,,,
1210,6,0,2420
1210,6,1,2427
1210,6,2,2476
1210,6,3,2486
1210,6,4,2529
1210,6,5,2461
1210,6,6,2478
1210,6,7,2523
1210,6,8,2657
1210,6,9,2939
1210,6,10,3017
1210,6,11,3175
1210,6,12,3420
1210,6,13,3802
1210,6,14,4061
1210,6,15,4293
1210,6,16,4726
1210,6,17,5190
1210,6,18,5800
1210,6,19,6302
1210,6,20,6786
1210,6,21,7496
1210,6,22,8348
1210,6,23,8942
1210,6,24,9887
1210,6,25,10622
1210,6,26,11847
1210,6,27,13190
1210,6,28,14507
1210,6,29,15932
1210,6,30,17383
1210,6,31,19057
1210,6,32,20529
1210,6,33,22014
1210,6,34,23452
1210,6,35,24572
1210,6,36,26166
1210,6,37,26576
1210,6,38,27716
1210,6,39,28481
1210,6,40,28684
1210,6,41,29253
1210,6,42,29528
1210,6,43,30161
1210,6,44,30444
1210,6,45,31060
1210,6,46,31065
1210,6,47,31180
1210,6,48,31594
1210,6,49,31564
1210,6,50,32196
1210,6,51,32151
1210,6,52,32526
1210,6,53,32464
1210,6,54,32696
1210,6,55,33193
1210,6,56,33753
1210,6,57,33741
1210,6,58,34083
1210,6,59,34272
1210,6,60,33952
1210,6,61,34076
1210,6,62,33981
1210,6,63,34302
1210,6,64,34475
1210,6,65,34521
1210,6,66,34320
1210,6,67,34982
1210,6,68,34984
1210,6,69,35446
1210,6,70,35803
1210,6,71,35493
1210,6,72,35647
1210,6,73,36029
1210,6,74,35820
1210,6,75,36180
1210,6,76,35894
1210,6,77,36775
1210,6,78,37302
1210,6,79,37503
