m,change
963,-57
963,-601
963,-358
963,16
1095,-3
1095,72
1095,-16
1095,132
1095,-61
1095,10
1095,-10
1095,50
1095,75
1095,41
1095,-52
1095,-28
1095,-157
1095,56
1095,42
1095,-39
1095,76
1095,168
1095,125
1095,-2
1096,125
1096,-16
1096,47
1096,-9
1096,160
1096,-27
1096,-22
1096,-27
1096,95
1096,-58
1096,-153
1096,17
1096,-29
1096,89
1096,6
1096,24
1096,75
1096,40
1096,121
1096,55
1097,47
1097,80
1097,-73
1097,-12
1097,-6
1097,90
1097,43
1097,24
1097,-61
1097,-66
1097,212
1097,67
1097,72
1097,-24
1097,51
1097,3
1097,-3
1097,115
1097,-79
1097,35
1098,-46
1098,63
1098,113
1098,80
1098,12
1098,9
1098,72
1098,-31
1098,98
1098,85
1098,22
1098,121
1098,128
1098,-40
1098,86
1098,31
1098,-6
1098,112
1098,135
1098,-78
1099,44
1099,76
1099,69
1099,158
1099,138
1099,-97
1099,57
1099,28
1099,87
1099,74
1099,23
1099,127
1099,68
1099,123
1099,46
1099,188
1099,20
1099,5
1099,31
1099,-84
1101,29
1101,48
1101,-54
1101,-59
1101,77
1101,-10
1101,99
1101,-65
1101,-14
1101,78
1101,23
1101,38
1101,-37
1101,1
1101,112
1101,72
1101,1
1101,-94
1101,1
1101,8
1102,166
1102,-85
1102,156
1102,87
1102,-55
1102,-48
1102,-45
1102,-171
1102,25
1102,118
1102,-46
1102,91
1102,-77
1102,79
1102,-18
1102,40
1102,-71
1102,5
1102,57
1102,25
1103,-88
1103,-53
1103,-53
1103,155
1103,86
1103,-111
1103,5
1103,151
1103,-109
1103,-86
1103,-6
1103,43
1103,154
1103,-62
1103,-9
1103,-44
1103,27
1103,-103
1103,-36
1103,-60
1104,91
1104,57
1104,-2
1104,85
1104,-61
1104,-10
1104,90
1104,80
1104,112
1104,89
1104,139
1104,140
1104,103
1104,114
1104,-8
1104,-33
1104,-105
1104,7
1104,93
1104,2
1105,-248
1105,0
1105,67
1105,119
1105,-11
1105,31
1105,23
1105,66
1105,-132
1105,50
1105,64
1105,-7
1105,44
1105,50
1105,132
1105,137
1105,105
1105,37
1105,-24
1105,58
964,-590
964,-15
964,113
964,-90
964,105
964,205
964,32
964,-189
964,211
964,-650
964,4
964,-25
964,-546
964,13
964,113
964,70
964,100
964,101
964,186
964,60
1106,-64
1106,97
1106,52
1106,64
1106,2
1106,26
1106,-43
1106,-71
1106,64
1106,-55
1106,71
1106,95
1106,140
1106,-103
1106,64
1106,52
1106,124
1106,-1
1106,-86
1106,-36
1107,96
1107,18
1107,-27
1107,92
1107,44
1107,68
1107,-64
1107,-5
1107,164
1107,34
1107,49
1107,67
1107,48
1107,153
1107,58
1107,-76
1107,-26
1107,54
1107,17
1107,66
1108,47
1108,182
1108,40
1108,88
1108,75
1108,8
1108,120
1108,45
1108,-27
1108,97
1108,-16
1108,-9
1108,-113
1108,9
1108,74
1108,24
1108,-7
1108,113
1108,111
1108,28
1109,91
1109,25
1109,155
1109,-77
1109,-19
1109,82
1109,55
1109,101
1109,119
1109,71
1109,59
1109,-29
1109,-70
1109,-79
1109,-53
1109,16
1109,40
1109,126
1109,-1
1109,164
1110,32
1110,206
1110,-56
1110,-124
1110,21
1110,38
1110,30
1110,-107
1110,73
1110,-40
1110,-24
1110,105
1110,126
1110,26
1110,0
1110,-106
1110,4
1110,42
1110,-71
1110,20
1111,24
1111,149
1111,159
1111,45
1111,40
1111,10
1111,88
1111,-12
1111,103
1111,0
1111,24
1111,26
1111,-33
1111,197
1111,-47
1111,52
1111,-176
1111,1
1111,-146
1111,9
1112,32
1112,127
1112,20
1112,52
1112,9
1112,-35
1112,-11
1112,101
1112,53
1112,-16
1112,-24
1112,65
1112,0
1112,-3
1112,72
1112,175
1112,227
1112,-19
1112,61
1112,23
1113,169
1113,38
1113,135
1113,31
1113,-58
1113,-51
1113,24
1113,-9
1113,-9
1113,-89
1113,-58
1113,3
1113,-217
1113,-27
1113,-83
1113,37
1113,60
1113,70
1113,-63
1113,-3
1114,-82
1114,85
1114,-87
1114,138
1114,-21
1114,-70
1114,232
1114,39
1114,-42
1114,-93
1114,267
1114,-105
1114,-57
1114,33
1114,205
1114,-92
1114,105
1114,173
1114,51
1114,80
1115,-36
1115,-22
1115,25
1115,-7
1115,-113
1115,102
1115,-69
1115,-22
1115,-138
1115,79
1115,-144
1115,-28
1115,-56
1115,-19
1115,-110
1115,-30
1115,-25
1115,52
1115,-14
1115,-10
965,-41
965,-45
965,68
965,63
965,91
965,-671
965,97
965,-12
965,-643
965,114
965,-131
965,79
965,-669
965,-613
965,44
965,107
965,110
965,62
965,26
965,131
1116,24
1116,14
1116,58
1116,25
1116,-46
1116,-77
1116,-9
1116,78
1116,113
1116,-88
1116,81
1116,121
1116,125
1116,-35
1116,150
1116,-60
1116,32
1116,-37
1116,-33
1116,8
1117,-20
1117,37
1117,21
1117,127
1117,-2
1117,77
1117,114
1117,166
1117,21
1117,21
1117,59
1117,-4
1117,73
1117,-2
1117,-15
1117,-59
1117,114
1117,99
1117,86
1117,-86
1118,134
1118,-5
1118,133
1118,156
1118,2
1118,13
1118,30
1118,-19
1118,-7
1118,3
1118,-103
1118,-51
1118,-29
1118,178
1118,-21
1118,85
1118,44
1118,94
1118,90
1118,29
1119,-18
1119,-13
1119,86
1119,-2
1119,-4
1119,-38
1119,41
1119,-19
1119,59
1119,-107
1119,97
1119,-10
1119,30
1119,-26
1119,11
1119,32
1119,35
1119,-32
1119,-86
1119,47
1120,177
1120,129
1120,-41
1120,116
1120,9
1120,112
1120,89
1120,-62
1120,-3
1120,24
1120,17
1120,106
1120,40
1120,81
1120,12
1120,-50
1120,43
1120,94
1120,-31
1120,-13
1121,2
1121,87
1121,15
1121,103
1121,-94
1121,-9
1121,111
1121,47
1121,43
1121,86
1121,129
1121,15
1121,47
1121,-100
1121,90
1121,-133
1121,-114
1121,-38
1121,86
1121,-56
1122,13
1122,-101
1122,-74
1122,43
1122,152
1122,148
1122,-49
1122,81
1122,-89
1122,80
1122,-87
1122,16
1122,55
1122,-37
1122,185
1122,67
1122,-133
1122,115
1122,-67
1122,106
1123,74
1123,-85
1123,59
1123,-28
1123,-17
1123,-33
1123,-4
1123,-16
1123,74
1123,13
1123,1
1123,74
1123,-33
1123,27
1123,37
1123,47
1123,51
1123,-44
1123,66
1123,70
1124,65
1124,66
1124,15
1124,154
1124,28
1124,112
1124,-52
1124,167
1124,-68
1124,121
1124,5
1124,12
1124,-56
1124,42
1124,277
1124,-64
1124,-81
1124,57
1124,-19
1124,28
1125,-45
1125,-30
1125,23
1125,95
1125,9
1125,80
1125,33
1125,214
1125,-23
1125,-42
1125,-2
1125,114
1125,17
1125,153
1125,3
1125,99
1125,37
1125,-63
1125,39
1125,-128
966,-12
966,-3
966,107
966,-99
966,49
966,73
966,-53
966,29
966,55
966,-29
966,-30
966,-20
966,56
966,69
966,-14
966,-194
966,-555
966,-72
966,-682
966,-660
1126,-16
1126,-3
1126,179
1126,1
1126,10
1126,131
1126,216
1126,15
1126,87
1126,-111
1126,55
1126,112
1126,55
1126,75
1126,83
1126,92
1126,17
1126,-32
1126,-77
1126,-104
1127,10
1127,46
1127,3
1127,84
1127,82
1127,-134
1127,-11
1127,-76
1127,-102
1127,136
1127,94
1127,54
1127,18
1127,-20
1127,-35
1127,71
1127,-36
1127,13
1127,-142
1127,94
1128,-54
1128,119
1128,-1
1128,-93
1128,-81
1128,-53
1128,-8
1128,104
1128,-25
1128,-106
1128,-71
1128,-141
1128,138
1128,35
1128,-74
1128,-53
1128,-20
1128,-44
1128,148
1128,-39
1129,54
1129,54
1129,-46
1129,2
1129,86
1129,-41
1129,-52
1129,52
1129,24
1129,75
1129,265
1129,66
1129,6
1129,177
1129,118
1129,-13
1129,15
1129,67
1129,-8
1129,70
1130,61
1130,46
1130,125
1130,16
1130,-84
1130,-72
1130,70
1130,46
1130,-57
1130,42
1130,76
1130,113
1130,81
1130,140
1130,-22
1130,-1
1130,22
1130,218
1130,18
1130,-28
1131,30
1131,-31
1131,28
1131,69
1131,123
1131,77
1131,43
1131,17
1131,40
1131,-35
1131,-33
1131,134
1131,119
1131,-38
1131,93
1131,-115
1131,10
1131,19
1131,-36
1131,1
1132,203
1132,-16
1132,97
1132,39
1132,-87
1132,35
1132,-33
1132,-5
1132,93
1132,113
1132,100
1132,17
1132,-181
1132,-92
1132,2
1132,-84
1132,9
1132,67
1132,-47
1132,56
1133,19
1133,212
1133,24
1133,186
1133,108
1133,77
1133,-80
1133,26
1133,-49
1133,46
1133,110
1133,24
1133,143
1133,3
1133,32
1133,121
1133,42
1133,16
1133,107
1133,-13
1134,1
1134,84
1134,36
1134,152
1134,-7
1134,35
1134,-63
1134,-37
1134,119
1134,-101
1134,71
1134,47
1134,-76
1134,61
1134,-46
1134,-144
1134,-58
1134,-5
1134,24
1134,-94
1135,-53
1135,7
1135,-51
1135,54
1135,-68
1135,166
1135,140
1135,210
1135,35
1135,44
1135,-36
1135,38
1135,-24
1135,31
1135,86
1135,163
1135,-41
1135,3
1135,28
1135,10
967,101
967,-627
967,-599
967,-1
967,25
967,9
967,10
967,-119
967,-673
967,89
967,77
967,-70
967,-54
967,62
967,-64
967,-692
967,95
967,-64
967,118
967,-45
1136,-130
1136,5
1136,148
1136,85
1136,21
1136,-4
1136,28
1136,-53
1136,65
1136,86
1136,-56
1136,-10
1136,-62
1136,79
1136,-195
1136,73
1136,-67
1136,19
1136,-24
1136,75
1137,-82
1137,43
1137,30
1137,84
1137,88
1137,10
1137,0
1137,50
1137,56
1137,52
1137,64
1137,-23
1137,-22
1137,-4
1137,40
1137,-45
1137,-56
1137,-27
1137,36
1137,50
1138,25
1138,-114
1138,-77
1138,-11
1138,211
1138,37
1138,52
1138,-2
1138,118
1138,-128
1138,31
1138,52
1138,-142
1138,124
1138,-26
1138,170
1138,169
1138,113
1138,78
1138,69
1139,46
1139,211
1139,7
1139,-10
1139,81
1139,199
1139,74
1139,83
1139,10
1139,61
1139,7
1139,109
1139,-68
1139,-67
1139,-8
1139,15
1139,-93
1139,-27
1139,50
1139,-60
1140,-59
1140,171
1140,-52
1140,27
1140,23
1140,-98
1140,14
1140,96
1140,64
1140,0
1140,-70
1140,131
1140,43
1140,104
1140,53
1140,122
1140,-46
1140,62
1140,5
1140,166
1141,72
1141,115
1141,131
1141,162
1141,121
1141,-157
1141,43
1141,14
1141,256
1141,112
1141,-22
1141,82
1141,43
1141,-87
1141,66
1141,141
1141,60
1141,-68
1141,183
1141,3
1142,-58
1142,53
1142,-119
1142,0
1142,74
1142,-4
1142,276
1142,68
1142,-105
1142,159
1142,-16
1142,33
1142,-45
1142,-71
1142,113
1142,90
1142,35
1142,181
1142,-97
1142,-25
1143,-72
1143,20
1143,-84
1143,-23
1143,52
1143,-119
1143,-82
1143,44
1143,-30
1143,98
1143,64
1143,59
1143,245
1143,-122
1143,-74
1143,103
1143,-68
1143,6
1143,88
1143,-22
1144,140
1144,45
1144,118
1144,71
1144,46
1144,-15
1144,27
1144,-7
1144,56
1144,3
1144,-58
1144,-72
1144,-35
1144,112
1144,-47
1144,-84
1144,107
1144,97
1144,-7
1144,58
1145,-39
1145,-58
1145,133
1145,-58
1145,12
1145,22
1145,-20
1145,82
1145,123
1145,-84
1145,-76
1145,-107
1145,162
1145,29
1145,-6
1145,67
1145,12
1145,-32
1145,-98
1145,-69
968,-6
968,16
968,-16
968,-655
968,-616
968,43
968,-24
968,-102
968,-10
968,144
968,-521
968,39
968,-113
968,-142
968,3
968,65
968,-93
968,-61
968,-16
968,-21
1146,234
1146,5
1146,-47
1146,91
1146,-59
1146,44
1146,155
1146,-33
1146,178
1146,181
1146,-33
1146,-83
1146,82
1146,-47
1146,172
1146,78
1146,42
1146,68
1146,45
1146,120
1147,-33
1147,104
1147,-3
1147,96
1147,85
1147,128
1147,-30
1147,-58
1147,138
1147,17
1147,-66
1147,136
1147,154
1147,124
1147,173
1147,116
1147,-79
1147,-94
1147,-29
1147,77
1148,-45
1148,40
1148,86
1148,70
1148,114
1148,36
1148,101
1148,76
1148,52
1148,-32
1148,-29
1148,-15
1148,11
1148,-39
1148,-43
1148,-63
1148,22
1148,26
1148,-42
1148,5
1149,-83
1149,96
1149,133
1149,40
1149,-166
1149,75
1149,30
1149,-128
1149,-157
1149,86
1149,-35
1149,118
1149,-103
1149,-102
1149,86
1149,31
1149,58
1149,-69
1149,50
1149,37
969,72
969,5
969,-602
969,58
969,33
969,-97
969,46
969,-699
969,-600
969,-80
969,-41
969,177
969,-762
969,-145
969,80
969,-19
969,-5
969,5
969,54
969,143
951,-665
951,-666
951,-13
951,68
951,-46
951,117
951,-3
951,-618
951,64
951,54
951,51
951,-5
951,107
951,130
951,-57
951,-20
951,-10
951,34
951,26
951,-577
970,-4
970,-90
970,-83
970,-576
970,163
970,24
970,-579
970,5
970,-77
970,-708
970,4
970,102
970,-4
970,47
970,7
970,-666
970,-211
970,-656
970,70
970,2
971,133
971,-515
971,72
971,-39
971,-668
971,-539
971,-43
971,-28
971,-417
971,83
971,-130
971,-28
971,7
971,8
971,-70
971,-83
971,-1
971,-10
971,-1
971,-136
972,4
972,18
972,29
972,-654
972,128
972,36
972,106
972,39
972,16
972,-10
972,40
972,-47
972,146
972,96
972,-33
972,-42
972,1
972,-618
972,5
972,-688
973,113
973,-23
973,-728
973,-597
973,-7
973,125
973,-704
973,-569
973,-574
973,72
973,43
973,96
973,-21
973,-92
973,-30
973,41
973,-669
973,-584
973,43
973,-54
974,-648
974,127
974,-83
974,123
974,21
974,-570
974,27
974,38
974,22
974,-647
974,44
974,-577
974,71
974,-10
974,23
974,110
974,60
974,-650
974,-679
974,105
976,102
976,68
976,-48
976,-706
976,55
976,-30
976,-28
976,-649
976,-73
976,-24
976,-60
976,-45
976,79
976,-620
976,-622
976,21
976,142
976,-101
976,17
976,-2
977,-613
977,-532
977,18
977,-97
977,39
977,68
977,-5
977,11
977,47
977,-700
977,-86
977,-660
977,43
977,-684
977,160
977,70
977,70
977,11
977,-706
977,31
978,143
978,-13
978,38
978,68
978,-92
978,-682
978,-589
978,34
978,96
978,-45
978,76
978,5
978,-682
978,-105
978,-35
978,-692
978,32
978,-559
978,8
978,-592
979,35
979,120
979,-581
979,-56
979,-42
979,2
979,31
979,-648
979,115
979,107
979,83
979,93
979,-37
979,-16
979,-648
979,119
979,-615
979,-64
979,24
979,52
980,-37
980,-36
980,44
980,-615
980,-59
980,-570
980,246
980,29
980,-556
980,18
980,63
980,-692
980,-2
980,-649
980,55
980,-1
980,127
980,-17
980,3
980,24
952,-86
952,-636
952,96
952,-600
952,109
952,-739
952,-626
952,18
952,-661
952,28
952,-592
952,67
952,-679
952,73
952,-84
952,149
952,138
952,167
952,-40
952,-70
981,-781
981,-10
981,118
981,-4
981,-759
981,-14
981,67
981,-694
981,-586
981,57
981,-656
981,-32
981,56
981,55
981,63
981,-153
981,-32
981,-30
981,-47
981,-651
982,50
982,-639
982,-133
982,-640
982,194
982,-68
982,-19
982,-749
982,30
982,-654
982,33
982,-55
982,173
982,153
982,-628
982,-717
982,-44
982,64
982,-677
982,121
983,-685
983,-783
983,-707
983,88
983,-93
983,-29
983,-741
983,-646
983,18
983,21
983,8
983,-663
983,20
983,-648
983,54
983,-43
983,-45
983,-521
983,-711
983,91
984,-674
984,63
984,1
984,-3
984,-4
984,-641
984,63
984,-35
984,156
984,-117
984,-50
984,-619
984,-654
984,-696
984,-72
984,-77
984,8
984,60
984,-651
984,11
985,-61
985,1
985,-103
985,-9
985,96
985,101
985,76
985,118
985,38
985,9
985,-612
985,-582
985,-627
985,-692
985,185
985,30
985,112
985,-18
985,-56
985,-126
986,36
986,52
986,-44
986,17
986,-636
986,146
986,1
986,26
986,118
986,-609
986,-87
986,-37
986,-640
986,211
986,65
986,-603
986,36
986,-18
986,-94
986,-607
987,-709
987,-65
987,-654
987,-128
987,-71
987,-23
987,95
987,39
987,58
987,74
987,17
987,39
987,-577
987,-27
987,-679
987,-608
987,-2
987,-15
987,-731
987,173
988,15
988,101
988,108
988,28
988,93
988,89
988,-664
988,85
988,137
988,92
988,135
988,-76
988,-40
988,13
988,72
988,-546
988,40
988,-142
988,148
988,84
989,70
989,-659
989,75
989,3
989,-609
989,-32
989,-658
989,-178
989,69
989,-616
989,-608
989,-87
989,-34
989,54
989,-78
989,-691
989,-566
989,-668
989,-41
989,101
990,-94
990,-68
990,124
990,-47
990,-8
990,67
990,-584
990,46
990,-46
990,-588
990,-38
990,39
990,44
990,-9
990,90
990,-2
990,11
990,-15
990,-6
990,-626
953,-90
953,-52
953,25
953,-633
953,39
953,48
953,-20
953,-48
953,2
953,70
953,49
953,-104
953,-47
953,-597
953,31
953,-711
953,-697
953,28
953,-3
953,-24
991,164
991,68
991,171
991,114
991,94
991,52
991,-642
991,32
991,47
991,64
991,-615
991,-125
991,2
991,-697
991,-582
991,-662
991,-661
991,-659
991,-125
991,-79
992,40
992,45
992,-3
992,22
992,-30
992,-138
992,159
992,79
992,101
992,-154
992,-24
992,-45
992,-28
992,-662
992,80
992,-46
992,-34
992,-33
992,290
992,-599
993,73
993,151
993,-661
993,51
993,108
993,125
993,-699
993,14
993,82
993,55
993,-78
993,22
993,31
993,-68
993,-96
993,-119
993,-593
993,86
993,-630
993,-653
994,-108
994,-68
994,151
994,-91
994,16
994,84
994,-738
994,8
994,-82
994,88
994,24
994,20
994,60
994,35
994,-540
994,53
994,130
994,-37
994,-645
994,70
995,-79
995,125
995,-631
995,9
995,95
995,-681
995,-40
995,158
995,-637
995,-646
995,62
995,-670
995,33
995,-69
995,-32
995,72
995,-636
995,18
995,-606
995,-157
996,-116
996,-677
