a,change
0.009095478,54
0.009095478,10
0.009095478,34
0.009095478,25
0.009095478,46
0.009095478,31
0.009095478,37
0.009095478,6
0.009095478,26
0.009095478,15
0.009095478,54
0.009095478,-26
0.009095478,-2
0.009095478,58
0.009095478,28
0.009095478,48
0.009095478,27
0.009095478,93
0.009095478,93
0.009095478,69
0.009095478,84
0.009095478,63
0.009095478,14
0.009095478,-18
0.009095478,-10
0.009095478,127
0.009095478,54
0.009095478,13
0.009095478,46
0.009095478,64
0.009095478,47
0.009095478,18
0.009095478,17
0.009095478,18
0.009095478,15
0.009095478,13
0.009095478,69
0.009095478,56
0.009095478,24
0.009095478,71
0.009095478,35
0.009095478,16
0.009095478,63
0.009095478,32
0.000954774,-4
0.000954774,7
0.000954774,1
0.000954774,0
0.000954774,6
0.000954774,21
0.000954774,-1
0.000954774,2
0.000954774,1
0.000954774,17
0.000954774,27
0.000954774,1
0.000954774,2
0.000954774,-3
0.000954774,19
0.000954774,27
0.000954774,6
0.000954774,-15
0.000954774,5
0.000954774,10
0.000954774,-1
0.000954774,20
0.000954774,11
0.000954774,4
0.000954774,5
0.000954774,19
0.000954774,-7
0.000954774,4
0.000954774,1
0.000954774,10
0.000954774,8
0.000954774,6
0.000954774,-2
0.000954774,-2
0.000954774,11
0.000954774,13
0.000954774,-3
0.000954774,11
0.000954774,2
0.000954774,-10
0.000954774,1
0.000954774,-10
0.000954774,-1
0.000954774,2
0.000954774,-10
0.000954774,21
0.000954774,17
0.000954774,43
0.000954774,-22
0.000954774,-2
0.000954774,4
0.000954774,24
0.000954774,-2
0.000954774,8
0.000954774,0
0.000954774,16
0.000954774,7
0.000954774,5
0.000954774,-11
0.000954774,25
0.000954774,10
0.000954774,0
0.000954774,30
0.000954774,-14
0.000954774,20
0.000954774,-15
0.000954774,-4
0.000954774,-5
0.000954774,17
0.000954774,9
0.000954774,-6
0.000954774,-6
0.000954774,22
0.000954774,1
0.000954774,-18
0.000954774,7
0.000954774,3
0.000954774,2
0.000954774,0
0.000954774,18
0.000954774,-23
0.000954774,-8
0.000954774,-4
0.000954774,-2
0.000954774,-1
0.000954774,1
0.000954774,19
0.000954774,11
0.000954774,2
0.000954774,14
0.000954774,-2
0.000954774,1
0.000954774,-3
0.000954774,-8
0.000954774,8
0.000954774,-10
0.000954774,12
0.000954774,32
0.000954774,-7
0.000954774,6
0.001407035,-1
0.001407035,-1
0.001407035,5
0.001407035,-34
0.001407035,-14
0.001407035,-8
0.001407035,8
0.001407035,-7
0.001407035,-25
0.001407035,-6
0.001407035,9
0.001407035,-6
0.001407035,-6
0.001407035,6
0.001407035,1
0.001407035,-16
0.001407035,11
0.001407035,-9
0.001407035,-8
0.001407035,16
0.001407035,24
0.001407035,15
0.001407035,-3
0.001407035,1
0.001407035,-10
0.001407035,41
0.001407035,40
0.001407035,13
0.001407035,19
0.001407035,9
0.001407035,14
0.001407035,1
0.001407035,7
0.001407035,13
0.001407035,15
0.001407035,-4
0.001407035,-6
0.001407035,32
0.001407035,-8
0.001407035,0
0.001407035,9
0.001407035,-3
0.001407035,11
0.001407035,-9
0.001407035,-15
0.001407035,9
0.001407035,15
0.001407035,28
0.001407035,4
0.001407035,1
0.001407035,-11
0.001407035,22
0.001407035,0
0.001407035,-17
0.001407035,-16
0.001407035,30
0.001407035,29
0.001407035,4
0.001407035,26
0.001407035,43
0.001407035,2
0.001407035,33
0.001407035,14
0.001407035,0
0.001407035,15
0.001407035,42
0.001407035,5
0.001407035,25
0.001407035,10
0.001407035,31
0.001407035,3
0.001407035,-4
0.001407035,-3
0.001407035,13
0.001407035,-4
0.001407035,-5
0.001407035,-1
0.001407035,39
0.001407035,-4
0.001407035,14
0.001407035,-1
0.001407035,9
0.001407035,9
0.001407035,4
0.001407035,1
0.001407035,26
0.001407035,21
0.001407035,9
0.001407035,11
0.001407035,25
0.001407035,-17
0.001407035,27
0.001407035,24
0.001407035,14
0.001407035,8
0.001407035,27
0.001407035,0
0.001407035,30
0.001407035,-2
0.001407035,19
0.001859297,3
0.001859297,-14
0.001859297,-13
0.001859297,34
0.001859297,-5
0.001859297,15
0.001859297,10
0.001859297,17
0.001859297,30
0.001859297,15
0.001859297,1
0.001859297,11
0.001859297,12
0.001859297,6
0.001859297,38
0.001859297,22
0.001859297,-3
0.001859297,2
0.001859297,-5
0.001859297,3
0.001859297,-5
0.001859297,13
0.001859297,-10
0.001859297,6
0.001859297,21
0.001859297,-4
0.001859297,32
0.001859297,25
0.001859297,2
0.001859297,11
0.001859297,13
0.001859297,6
0.001859297,14
0.001859297,4
0.001859297,5
0.001859297,3
0.001859297,-8
0.001859297,26
0.001859297,-11
0.001859297,17
0.001859297,-33
0.001859297,28
0.001859297,25
0.001859297,30
0.001859297,-1
0.001859297,16
0.001859297,27
0.001859297,-15
0.001859297,45
0.001859297,20
0.001859297,13
0.001859297,46
0.001859297,3
0.001859297,30
0.001859297,-15
0.001859297,1
0.001859297,-1
0.001859297,24
0.001859297,2
0.001859297,-4
0.001859297,31
0.001859297,29
0.001859297,7
0.001859297,26
0.001859297,21
0.001859297,-29
0.001859297,-3
0.001859297,33
0.001859297,-1
0.001859297,6
0.001859297,-2
0.001859297,24
0.001859297,18
0.001859297,-32
0.001859297,44
0.001859297,-1
0.001859297,-6
0.001859297,19
0.001859297,40
0.001859297,7
0.001859297,19
0.001859297,-40
0.001859297,24
0.001859297,40
0.001859297,-15
0.001859297,6
0.001859297,31
0.001859297,6
0.001859297,-4
0.001859297,-4
0.001859297,30
0.001859297,-19
0.001859297,-1
0.001859297,-17
0.001859297,-9
0.001859297,-1
0.001859297,10
0.001859297,-24
0.001859297,4
0.001859297,15
0.002311558,31
0.002311558,23
0.002311558,27
0.002311558,25
0.002311558,61
0.002311558,13
0.002311558,-12
0.002311558,-1
0.002311558,50
0.002311558,16
0.002311558,27
0.002311558,-1
0.002311558,12
0.002311558,-11
0.002311558,-26
0.002311558,-40
0.002311558,17
0.002311558,12
0.002311558,5
0.002311558,9
0.002311558,-11
0.002311558,-16
0.002311558,18
0.002311558,33
0.002311558,-14
0.002311558,10
0.002311558,34
0.002311558,37
0.002311558,-10
0.002311558,9
0.002311558,1
0.002311558,25
0.002311558,-3
0.002311558,-6
0.002311558,9
0.002311558,27
0.002311558,-5
0.002311558,13
0.002311558,18
0.002311558,5
0.002311558,9
0.002311558,28
0.002311558,3
0.002311558,21
0.002311558,27
0.002311558,24
0.002311558,4
0.002311558,49
0.002311558,2
0.002311558,8
0.002311558,23
0.002311558,9
0.002311558,-7
0.002311558,4
0.002311558,11
0.002311558,31
0.002311558,16
0.002311558,21
0.002311558,2
0.002311558,33
0.002311558,-13
0.002311558,-2
0.002311558,19
0.002311558,-10
0.002311558,-15
0.002311558,51
0.002311558,10
0.002311558,-12
0.002311558,12
0.002311558,-11
0.002311558,38
0.002311558,23
0.002311558,-11
0.002311558,7
0.002311558,14
0.002311558,17
0.002311558,-8
0.002311558,29
0.002311558,1
0.002311558,32
0.002311558,-3
0.002311558,33
0.002311558,3
0.002311558,-23
0.002311558,14
0.002311558,-6
0.002311558,24
0.002311558,-5
0.002311558,21
0.002311558,9
0.002311558,11
0.002311558,11
0.002311558,29
0.002311558,5
0.002311558,22
0.002311558,20
0.002311558,43
0.002311558,-25
0.002311558,21
0.002311558,-29
0.002763819,47
0.002763819,22
0.002763819,-19
0.002763819,1
0.002763819,16
0.002763819,3
0.002763819,7
0.002763819,10
0.002763819,-3
0.002763819,35
0.002763819,1
0.002763819,0
0.002763819,18
0.002763819,-12
0.002763819,-16
0.002763819,28
0.002763819,-3
0.002763819,-2
0.002763819,-15
0.002763819,25
0.002763819,27
0.002763819,21
0.002763819,6
0.002763819,21
0.002763819,28
0.002763819,21
0.002763819,-7
0.002763819,6
0.002763819,9
0.002763819,17
0.002763819,-35
0.002763819,52
0.002763819,-12
0.002763819,30
0.002763819,24
0.002763819,-9
0.002763819,9
0.002763819,-6
0.002763819,13
0.002763819,41
0.002763819,21
0.002763819,1
0.002763819,22
0.002763819,42
0.002763819,18
0.002763819,-7
0.002763819,23
0.002763819,60
0.002763819,-8
0.002763819,25
0.002763819,-4
0.002763819,30
0.002763819,-14
0.002763819,31
0.002763819,-9
0.002763819,8
0.002763819,8
0.002763819,-6
0.002763819,36
0.002763819,-27
0.002763819,2
0.002763819,-21
0.002763819,18
0.002763819,2
0.002763819,-1
0.002763819,28
0.002763819,44
0.002763819,-14
0.002763819,-1
0.002763819,-14
0.002763819,20
0.002763819,-11
0.002763819,30
0.002763819,33
0.002763819,51
0.002763819,44
0.002763819,9
0.002763819,14
0.002763819,28
0.002763819,-13
0.002763819,13
0.002763819,30
0.002763819,12
0.002763819,4
0.002763819,90
0.002763819,-10
0.002763819,36
0.002763819,7
0.002763819,32
0.002763819,-7
0.002763819,36
0.002763819,65
0.002763819,-9
0.002763819,35
0.002763819,-14
0.002763819,6
0.002763819,43
0.002763819,-26
0.002763819,-13
