a,sigma,k,u_hat,delta,outcome
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0282,0.01,0.2,0.2,0.001143643,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,decrease
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0285,0.01,0.2,0.2,0.001156896,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,decrease
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
0.0288,0.01,0.2,0.2,0.001169936,increase
