a,sigma,k,u_hat,outcome
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.02162069,0.01,0.2,0.2,decrease
0.02162069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,decrease
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
0.021862069,0.01,0.2,0.2,increase
