a,sigma,k,u_hat,outcome
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,increase
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012020202,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
0.012222222,0.01,0.2,0.2,decrease
