a,sigma,k,u_hat,outcome
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.024172414,0.01,0.2,0.2,decrease
0.024172414,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,decrease
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,decrease
0.025551724,0.01,0.2,0.2,decrease
0.025551724,0.01,0.2,0.2,decrease
0.025551724,0.01,0.2,0.2,increase
0.025551724,0.01,0.2,0.2,decrease
