a,sigma,k,u_hat,delta,outcome
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,decrease
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0042,0.01,0.2,0.2,-0.000150803,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,increase
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0045,0.01,0.2,0.2,-0.00014963,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,decrease
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
0.0048,0.01,0.2,0.2,-0.000147177,increase
