a,change
0.0036683419999999998,40
0.0036683419999999998,34
0.0036683419999999998,11
0.0036683419999999998,-14
0.0036683419999999998,53
0.0036683419999999998,23
0.0036683419999999998,1
0.0036683419999999998,23
0.0036683419999999998,45
0.0036683419999999998,-71
0.0036683419999999998,0
0.0036683419999999998,74
0.0036683419999999998,56
0.0036683419999999998,36
0.0036683419999999998,16
0.0036683419999999998,21
0.0036683419999999998,8
0.0036683419999999998,12
0.0036683419999999998,12
0.0036683419999999998,-2
0.0036683419999999998,-5
0.0036683419999999998,18
0.0036683419999999998,-16
0.0036683419999999998,2
0.0036683419999999998,16
0.0036683419999999998,8
0.0036683419999999998,-50
0.0036683419999999998,11
0.0036683419999999998,5
0.0036683419999999998,2
0.0036683419999999998,-2
0.0036683419999999998,6
0.0036683419999999998,-35
0.0036683419999999998,24
0.0036683419999999998,29
0.0036683419999999998,37
0.0036683419999999998,32
0.0036683419999999998,32
0.0036683419999999998,17
0.0036683419999999998,14
0.0036683419999999998,-23
0.0036683419999999998,-25
0.0036683419999999998,49
0.0036683419999999998,-11
0.0036683419999999998,-1
0.0036683419999999998,9
0.0036683419999999998,-31
0.0036683419999999998,15
0.0036683419999999998,44
0.0036683419999999998,25
0.0036683419999999998,45
0.0036683419999999998,8
0.0036683419999999998,2
0.0036683419999999998,44
0.0036683419999999998,20
0.0036683419999999998,12
0.0036683419999999998,7
0.0036683419999999998,37
0.0036683419999999998,21
0.0036683419999999998,20
0.0036683419999999998,17
0.0036683419999999998,23
0.0036683419999999998,10
0.0036683419999999998,38
0.0036683419999999998,24
0.0036683419999999998,57
0.0036683419999999998,9
0.0036683419999999998,-7
0.0036683419999999998,24
0.0036683419999999998,31
0.0036683419999999998,8
0.0036683419999999998,11
0.0036683419999999998,3
0.0036683419999999998,52
0.0036683419999999998,38
0.0036683419999999998,52
0.0036683419999999998,45
0.0036683419999999998,22
0.0036683419999999998,43
0.0036683419999999998,32
0.0036683419999999998,21
0.0036683419999999998,6
0.0036683419999999998,21
0.0036683419999999998,52
0.0036683419999999998,-30
0.0036683419999999998,42
0.0036683419999999998,40
0.0036683419999999998,9
0.0036683419999999998,-4
0.0036683419999999998,13
0.0036683419999999998,8
0.0036683419999999998,45
0.0036683419999999998,62
0.0036683419999999998,-3
0.0036683419999999998,29
0.0036683419999999998,6
0.0036683419999999998,49
0.004120603,-16
0.004120603,53
0.004120603,-22
0.004120603,4
0.004120603,44
0.004120603,26
0.004120603,-24
0.004120603,41
0.004120603,23
0.004120603,50
0.004120603,-7
0.004120603,25
0.004120603,-9
0.004120603,-2
0.004120603,71
0.004120603,-6
0.004120603,10
0.004120603,57
0.004120603,5
0.004120603,47
0.004120603,18
0.004120603,35
0.004120603,-4
0.004120603,-2
0.004120603,6
0.004120603,33
0.004120603,40
0.004120603,28
0.004120603,12
0.004120603,29
0.004120603,29
0.004120603,23
0.004120603,-21
0.004120603,12
0.004120603,18
0.004120603,-1
0.004120603,13
0.004120603,14
0.004120603,-16
0.004120603,35
0.004120603,6
0.004120603,-11
0.004120603,-1
0.004120603,43
0.004120603,61
0.004120603,-5
0.004120603,24
0.004120603,-20
0.004120603,-6
0.004120603,47
0.004120603,87
0.004120603,42
0.004120603,-35
0.004120603,-38
0.004120603,60
0.004120603,10
0.004120603,-12
0.004120603,45
0.004120603,27
0.004120603,20
0.004120603,8
0.004120603,53
0.004120603,13
0.004120603,51
0.004120603,27
0.004120603,15
0.004120603,36
0.004120603,6
0.004120603,29
