a,sigma,k,u_hat,outcome
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,increase
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,increase
0.003257895,0.01,0.2,0.05,increase
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,increase
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,increase
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,increase
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003257895,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,increase
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,increase
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,increase
0.003463158,0.01,0.2,0.05,increase
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,decrease
0.003463158,0.01,0.2,0.05,increase
