a,sigma,beta,k,u_hat,delta,p_increase
0.019448276,0.01,1.9448276,0.2,0.2,3.5701260768889864e-4,0.04
0.019494949,0.01,1.9494949000000001,0.2,0.2,3.5862319015496336e-4,0.02
0.019689655,0.01,1.9689655,0.2,0.2,3.6540803172720936e-4,0.16
0.01969697,0.01,1.969697,0.2,0.2,3.6566493718258477e-4,0.12
0.01989899,0.01,1.9898989999999999,0.2,0.2,3.7281401253705165e-4,0.12
0.019931034,0.01,1.9931034,0.2,0.2,3.739572359651324e-4,0.1
0.020034483,0.01,2.0034482999999996,0.2,0.2,3.776643802388028e-4,0.06
0.02010101,0.01,2.0101009999999997,0.2,0.2,3.80061253244341e-4,0.2
0.020172414,0.01,2.0172414,0.2,0.2,3.826446089942035e-4,0.14
0.02030303,0.01,2.030303,0.2,0.2,3.8739786151274194e-4,0.16
0.020413793,0.01,2.0413793,0.2,0.2,3.914552408985179e-4,0.18
0.020505051,0.01,2.0505051,0.2,0.2,3.948154608576225e-4,0.12
0.020655172,0.01,2.0655172,0.2,0.2,4.003751022646215e-4,0.18
0.020707071,0.01,2.0707071,0.2,0.2,4.02305934058083e-4,0.22
0.020896552,0.01,2.0896551999999997,0.2,0.2,4.093909029035086e-4,0.16
0.020909091,0.01,2.0909091,0.2,0.2,4.0986162931103934e-4,0.2
0.021111111,0.01,2.1111110999999996,0.2,0.2,4.174752000487315e-4,0.24
0.021137931,0.01,2.1137930999999996,0.2,0.2,4.184899440098821e-4,0.28
0.021313131,0.01,2.1313131,0.2,0.2,4.2513962831298665e-4,0.22
0.02137931,0.01,2.137931,0.2,0.2,4.276603101243425e-4,0.24
0.021413793,0.01,2.1413793,0.2,0.2,4.289755284184376e-4,0.36
0.021515152,0.01,2.1515152,0.2,0.2,4.3284825036041756e-4,0.38
0.02162069,0.01,2.162069,0.2,0.2,4.368907276438884e-4,0.4
0.021717172,0.01,2.1717172,0.2,0.2,4.4059459163721534e-4,0.3
0.021862069,0.01,2.1862069,0.2,0.2,4.4617041938475134e-4,0.38
0.021919192,0.01,2.1919192,0.2,0.2,4.483725840595781e-4,0.56
0.022103448,0.01,2.2103448,0.2,0.2,4.55489306027935e-4,0.42
0.022121212,0.01,2.2121212,0.2,0.2,4.5617640229411635e-4,0.46
0.022323232,0.01,2.2323231999999997,0.2,0.2,4.6400049096629524e-4,0.44
0.022344828,0.01,2.2344828,0.2,0.2,4.6483786533018994e-4,0.46
0.022525253,0.01,2.2525253,0.2,0.2,4.7183959305568187e-4,0.48
0.022586207,0.01,2.2586207,0.2,0.2,4.742069896013881e-4,0.52
0.022727273,0.01,2.2727272999999997,0.2,0.2,4.796885845606589e-4,0.48
0.022793103,0.01,2.2793102999999997,0.2,0.2,4.822475808294572e-4,0.7
0.022827586,0.01,2.2827586,0.2,0.2,4.83588193684861e-4,0.66
0.022929293,0.01,2.2929293,0.2,0.2,4.875426976895072e-4,0.62
0.023068966,0.01,2.3068966,0.2,0.2,4.929734756362865e-4,0.72
0.023131313,0.01,2.3131313000000002,0.2,0.2,4.953973563870732e-4,0.66
0.023310345,0.01,2.3310345,0.2,0.2,5.023551775343027e-4,0.7
0.023333333,0.01,2.3333333,0.2,0.2,5.032482061503788e-4,0.66
0.023535354,0.01,2.3535354,0.2,0.2,5.110911442052601e-4,0.66
0.023551724,0.01,2.3551724,0.2,0.2,5.117261974976972e-4,0.74
0.023737374,0.01,2.3737374,0.2,0.2,5.189221559567032e-4,0.72
0.023793103,0.01,2.3793103,0.2,0.2,5.210798137669675e-4,0.74
0.023939394,0.01,2.3939394,0.2,0.2,5.267375399658017e-4,0.9
0.024034483,0.01,2.4034483,0.2,0.2,5.304097427148531e-4,0.72
0.024141414,0.01,2.4141414,0.2,0.2,5.345337449092872e-4,0.82
0.024172414,0.01,2.4172414,0.2,0.2,5.357281599881086e-4,0.76
0.024275862,0.01,2.4275862,0.2,0.2,5.397099657342188e-4,0.84
0.024343434,0.01,2.4343434,0.2,0.2,5.423074010238242e-4,0.8
0.024517241,0.01,2.4517241,0.2,0.2,5.489749434185558e-4,0.96
0.024545455,0.01,2.4545455,0.2,0.2,5.500553512644578e-4,0.84
0.024747475,0.01,2.4747475,0.2,0.2,5.577744911619359e-4,0.86
0.024758621,0.01,2.4758621,0.2,0.2,5.581994819671885e-4,0.82
0.024949495,0.01,2.4949494999999997,0.2,0.2,5.65461992354604e-4,0.86
0.025,0.01,2.5,0.2,0.2,5.673786029642755e-4,0.84
0.025151515,0.01,2.5151515,0.2,0.2,5.731151426762424e-4,0.96
0.025353535,0.01,2.5353535,0.2,0.2,5.8073137845326e-4,0.88
0.025551724,0.01,2.5551724,0.2,0.2,5.881649744366406e-4,0.86
0.025555556,0.01,2.5555556,0.2,0.2,5.883083160155914e-4,0.98
0.025757576,0.01,2.5757576,0.2,0.2,5.958435961926707e-4,0.98
0.025959596,0.01,2.5959596,0.2,0.2,6.033351039008719e-4,0.84
0.026161616,0.01,2.6161616,0.2,0.2,6.107808126516778e-4,0.96
0.026363636,0.01,2.6363635999999997,0.2,0.2,6.181788170913059e-4,1
0.026565657,0.01,2.6565657,0.2,0.2,6.255273643732314e-4,0.98
0.026767677,0.01,2.6767677,0.2,0.2,6.328247042051763e-4,0.96
0.026931034,0.01,2.6931034,0.2,0.2,6.386869674277397e-4,0.98
0.026969697,0.01,2.6969697,0.2,0.2,6.400693025904835e-4,1
0.027171717,0.01,2.7171717,0.2,0.2,6.472596917181299e-4,1
0.027373737,0.01,2.7373737,0.2,0.2,6.543945022690706e-4,0.98
