a,sigma,beta,k,u_hat,delta_correct
0.012828283,0.01,1.2828282999999998,0.2,0.2,2.209293356080569e-4
0.013030303,0.01,1.3030303,0.2,0.2,2.3425572641152387e-4
0.013137931,0.01,1.3137931,0.2,0.2,2.4138410809106982e-4
0.013232323,0.01,1.3232323000000001,0.2,0.2,2.4765113666970137e-4
0.013434343,0.01,1.3434343,0.2,0.2,2.6110864477687547e-4
0.013636364,0.01,1.3636363999999999,0.2,0.2,2.7462159908992444e-4
0.013838384,0.01,1.3838384,0.2,0.2,2.8818334657833636e-4
0.014040404,0.01,1.4040404,0.2,0.2,3.01787630676887e-4
0.014242424,0.01,1.4242424,0.2,0.2,3.154283204288358e-4
0.014444444,0.01,1.4444444,0.2,0.2,3.290994737021359e-4
0.014517241,0.01,1.4517241,0.2,0.2,3.340321631496203e-4
0.014646465,0.01,1.4646465,0.2,0.2,3.427954014952484e-4
0.014848485,0.01,1.4848485,0.2,0.2,3.565103930961832e-4
0.015050505,0.01,1.5050505,0.2,0.2,3.7023911936301564e-4
0.015252525,0.01,1.5252525,0.2,0.2,3.839763581182376e-4
0.015454545,0.01,1.5454545,0.2,0.2,3.977170583846848e-4
0.015656566,0.01,1.5656566,0.2,0.2,4.114564048991673e-4
0.015858586,0.01,1.5858586000000001,0.2,0.2,4.2518954261400524e-4
0.015896552,0.01,1.5896552000000002,0.2,0.2,4.277693779443405e-4
0.016060606,0.01,1.6060606000000002,0.2,0.2,4.3891198134797874e-4
0.016262626,0.01,1.6262625999999998,0.2,0.2,4.5261932029775145e-4
0.016464646,0.01,1.6464645999999998,0.2,0.2,4.663073126669262e-4
0.016666667,0.01,1.6666667,0.2,0.2,4.7997192988231616e-4
0.016868687,0.01,1.6868687,0.2,0.2,4.93609087822075e-4
0.017070707,0.01,1.7070707,0.2,0.2,5.072150493886547e-4
0.017272727,0.01,1.7272727,0.2,0.2,5.207861505522118e-4
0.017275862,0.01,1.7275862,0.2,0.2,5.209964569743188e-4
0.017474747,0.01,1.7474747,0.2,0.2,5.343188648287422e-4
0.017676768,0.01,1.7676767999999998,0.2,0.2,5.478098667662037e-4
0.017878788,0.01,1.7878787999999999,0.2,0.2,5.612557618817869e-4
0.018,0.01,1.7999999999999998,0.2,0.2,5.693003712995519e-4
0.018080808,0.01,1.8080808,0.2,0.2,5.746534842604213e-4
0.018241379,0.01,1.8241378999999998,0.2,0.2,5.852659950928048e-4
0.018282828,0.01,1.8282828,0.2,0.2,5.880000261418786e-4
0.018482759,0.01,1.8482759000000002,0.2,0.2,6.011553362727518e-4
0.018484848,0.01,1.8484848,0.2,0.2,6.01292501782584e-4
0.018655172,0.01,1.8655172,0.2,0.2,6.124554015485596e-4
0.018686869,0.01,1.8686868999999997,0.2,0.2,6.145282098448494e-4
0.018724138,0.01,1.8724138000000001,0.2,0.2,6.169635219497663e-4
0.018888889,0.01,1.8888888999999998,0.2,0.2,6.277043686710518e-4
0.018965517,0.01,1.8965517,0.2,0.2,6.326861135724504e-4
0.019090909,0.01,1.9090909,0.2,0.2,6.408185065065568e-4
0.019206897,0.01,1.9206897,0.2,0.2,6.483189008096024e-4
0.019292929,0.01,1.9292929,0.2,0.2,6.53868196284893e-4
0.019448276,0.01,1.9448276,0.2,0.2,6.63857701937963e-4
0.019494949,0.01,1.9494949000000001,0.2,0.2,6.668511184799338e-4
0.019689655,0.01,1.9689655,0.2,0.2,6.79298745668383e-4
0.01969697,0.01,1.969697,0.2,0.2,6.797651220928971e-4
0.01989899,0.01,1.9898989999999999,0.2,0.2,6.926079665786206e-4
0.019931034,0.01,1.9931034,0.2,0.2,6.946384050425421e-4
0.020034483,0.01,2.0034482999999996,0.2,0.2,7.011807072895664e-4
0.02010101,0.01,2.0101009999999997,0.2,0.2,7.053777027330906e-4
0.020172414,0.01,2.0172414,0.2,0.2,7.098733187578185e-4
0.02030303,0.01,2.030303,0.2,0.2,7.180724140161826e-4
0.020413793,0.01,2.0413793,0.2,0.2,7.250001327458074e-4
0.020505051,0.01,2.0505051,0.2,0.2,7.306903403317792e-4
0.020655172,0.01,2.0655172,0.2,0.2,7.400158726290108e-4
0.020707071,0.01,2.0707071,0.2,0.2,7.432296260368662e-4
0.020896552,0.01,2.0896551999999997,0.2,0.2,7.549177461769196e-4
0.020909091,0.01,2.0909091,0.2,0.2,7.556886922144394e-4
0.021111111,0.01,2.1111110999999996,0.2,0.2,7.680659840031447e-4
0.021137931,0.01,2.1137930999999996,0.2,0.2,7.6970295417296e-4
0.021313131,0.01,2.1313131,0.2,0.2,7.803600308472942e-4
0.02137931,0.01,2.137931,0.2,0.2,7.843690549852143e-4
0.021413793,0.01,2.1413793,0.2,0.2,7.864543681613788e-4
0.021515152,0.01,2.1515152,0.2,0.2,7.925695043663472e-4
0.02162069,0.01,2.1620690000000002,0.2,0.2,7.98913771406385e-4
0.021717172,0.01,2.1717172,0.2,0.2,8.046929747160467e-4
0.021862069,0.01,2.1862069,0.2,0.2,8.133348065028564e-4
0.021919192,0.01,2.1919192,0.2,0.2,8.167292709521969e-4
0.022103448,0.01,2.2103448,0.2,0.2,8.276301996953499e-4
0.022121212,0.01,2.2121212,0.2,0.2,8.286772366357179e-4
0.022323232,0.01,2.2323231999999997,0.2,0.2,8.405357883026765e-4
0.022344828,0.01,2.2344828,0.2,0.2,8.417981383047231e-4
0.022525253,0.01,2.2525253,0.2,0.2,8.52303971357226e-4
0.022586207,0.01,2.2586207,0.2,0.2,8.558367785910792e-4
0.022727273,0.01,2.2727272999999997,0.2,0.2,8.639807254193499e-4
0.022793103,0.01,2.2793102999999997,0.2,0.2,8.677658120496042e-4
0.022827586,0.01,2.2827586,0.2,0.2,8.697445928487514e-4
0.022929293,0.01,2.2929293,0.2,0.2,8.755652317982594e-4
0.023068966,0.01,2.3068966,0.2,0.2,8.83520185916753e-4
0.023131313,0.01,2.3131313000000002,0.2,0.2,8.870566780251471e-4
0.023310345,0.01,2.3310345,0.2,0.2,8.971621215660038e-4
0.023333333,0.01,2.3333333,0.2,0.2,8.984543143676325e-4
0.023535354,0.01,2.3535354,0.2,0.2,9.097575076247762e-4
0.023551724,0.01,2.3551724,0.2,0.2,9.10669260209794e-4
0.023737374,0.01,2.3737374,0.2,0.2,9.209655159123989e-4
0.023793103,0.01,2.3793102999999998,0.2,0.2,9.240405254703661e-4
0.023939394,0.01,2.3939394,0.2,0.2,9.320778225328126e-4
0.024034483,0.01,2.4034483,0.2,0.2,9.372750115886376e-4
0.024141414,0.01,2.4141414,0.2,0.2,9.430939099027077e-4
0.024172414,0.01,2.4172414,0.2,0.2,9.447757847519216e-4
0.024275862,0.01,2.4275862,0.2,0.2,9.503717603153612e-4
0.024343434,0.01,2.4343434,0.2,0.2,9.54013313979294e-4
0.024517241,0.01,2.4517241,0.2,0.2,9.633300856405277e-4
0.024545455,0.01,2.4545455,0.2,0.2,9.648356758711618e-4
0.024747475,0.01,2.4747475,0.2,0.2,9.755605263562818e-4
0.024758621,0.01,2.4758621,0.2,0.2,9.761494025954318e-4
0.024949495,0.01,2.4949494999999997,0.2,0.2,9.861876056656248e-4
0.025,0.01,2.5,0.2,0.2,9.888290664866808e-4
0.025151515,0.01,2.5151515,0.2,0.2,9.96716647114048e-4
0.025353535,0.01,2.5353535,0.2,0.2,0.0010071474293444453
0.025551724,0.01,2.5551724,0.2,0.2,0.001017284754232458
0.025555556,0.01,2.5555556,0.2,0.2,0.001017479825698664
0.025757576,0.01,2.5757576,0.2,0.2,0.0010277135986297044
0.025959596,0.01,2.5959596,0.2,0.2,0.0010378487051151616
0.026161616,0.01,2.6161616,0.2,0.2,0.001047885090164711
0.026363636,0.01,2.6363635999999997,0.2,0.2,0.0010578227368194769
0.026565657,0.01,2.6565657,0.2,0.2,0.0010676617132555043
0.026767677,0.01,2.6767677,0.2,0.2,0.0010774019771391807
0.026931034,0.01,2.6931034,0.2,0.2,0.0010852060425528068
0.026969697,0.01,2.6969697,0.2,0.2,0.0010870436665539884
0.027171717,0.01,2.7171717,0.2,0.2,0.0010965869034440835
0.027373737,0.01,2.7373737,0.2,0.2,0.0011060318413356994
0.027575758,0.01,2.7575757999999997,0.2,0.2,0.0011153787101667104
0.027777778,0.01,2.7777778,0.2,0.2,0.0011246276305417573
0.027979798,0.01,2.7979798,0.2,0.2,0.0011337788901969494
0.028181818,0.01,2.8181818,0.2,0.2,0.001142832757343986
0.028310345,0.01,2.8310345,0.2,0.2,0.001148542353760218
0.028383838,0.01,2.8383838,0.2,0.2,0.0011517895261031405
0.028585859,0.01,2.8585859,0.2,0.2,0.0011606495590741409
0.028787879,0.01,2.8787879,0.2,0.2,0.001169413111367628
0.028989899,0.01,2.8989898999999997,0.2,0.2,0.0011780805927517207
0.029191919,0.01,2.9191919,0.2,0.2,0.0011866523907814418
0.029393939,0.01,2.9393939000000002,0.2,0.2,0.0011951289139544505
0.02959596,0.01,2.959596,0.2,0.2,0.0012035106320524881
0.029689655,0.01,2.9689655,0.2,0.2,0.0012073659045939503
0.02979798,0.01,2.979798,0.2,0.2,0.0012117979097648265
0.03,0.01,3,0.2,0.2,0.0012199912547561191
0.031068966,0.01,3.1068966,0.2,0.2,0.0012618021499147015
0.032448276,0.01,3.2448276,0.2,0.2,0.0013120156330602845
0.033827586,0.01,3.3827586,0.2,0.2,0.0013581988824945476
0.035206897,0.01,3.5206897,0.2,0.2,0.0014005629806199127
0.036586207,0.01,3.6586207,0.2,0.2,0.0014393299710049809
0.037965517,0.01,3.7965516999999998,0.2,0.2,0.0014747270444008323
0.039344828,0.01,3.9344827999999996,0.2,0.2,0.0015069817145186015
0.040724138,0.01,4.0724138,0.2,0.2,0.0015363181057844247
0.042103448,0.01,4.2103448,0.2,0.2,0.001562954327070834
0.043482759,0.01,4.3482759,0.2,0.2,0.001587100357112306
0.044862069,0.01,4.4862069,0.2,0.2,0.001608956562514502
0.046241379,0.01,4.6241379,0.2,0.2,0.0016287128482908725
0.04762069,0.01,4.762069,0.2,0.2,0.0016465480325349238
0.049,0.01,4.9,0.2,0.2,0.0016626295565727103
0.05,0.01,5,0.2,0.2,0.001673281196487339
0.053448276,0.01,5.3448276,0.2,0.2,0.0017043242470839506
0.056896552,0.01,5.6896552,0.2,0.2,0.0017280367040060848
0.060344828,0.01,6.0344828,0.2,0.2,0.001746054928757755
0.063793103,0.01,6.3793103,0.2,0.2,0.0017596838545385213
0.067241379,0.01,6.7241379000000006,0.2,0.2,0.0017699513699403896
0.070689655,0.01,7.0689655,0.2,0.2,0.0017776590234219597
0.074137931,0.01,7.4137931,0.2,0.2,0.0017834266850661334
0.077586207,0.01,7.758620700000001,0.2,0.2,0.0017877303673047018
0.081034483,0.01,8.1034483,0.2,0.2,0.0017909334257401877
0.084482759,0.01,8.4482759,0.2,0.2,0.001793311789619778
0.087931034,0.01,8.7931034,0.2,0.2,0.0017950740538050652
0.09137931,0.01,9.137931,0.2,0.2,0.0017963772877875733
0.094827586,0.01,9.4827586,0.2,0.2,0.0017973393460334192
0.098275862,0.01,9.8275862,0.2,0.2,0.0017980483835315086
0.101724138,0.01,10.172413800000001,0.2,0.2,0.0017985701547075933
0.105172414,0.01,10.5172414,0.2,0.2,0.0017989535813017904
0.10862069,0.01,10.862069,0.2,0.2,0.0017992349778521155
0.112068966,0.01,11.2068966,0.2,0.2,0.0017994412442063207
0.115517241,0.01,11.551724100000001,0.2,0.2,0.001799592268168726
0.118965517,0.01,11.8965517,0.2,0.2,0.0017997027276639571
0.122413793,0.01,12.2413793,0.2,0.2,0.001799783437815991
0.125862069,0.01,12.586206899999999,0.2,0.2,0.0017998423557265275
0.129310345,0.01,12.931034499999999,0.2,0.2,0.00179988532760339
0.132758621,0.01,13.2758621,0.2,0.2,0.0017999166432071667
0.136206897,0.01,13.6206897,0.2,0.2,0.0017999394464525698
0.139655172,0.01,13.965517199999999,0.2,0.2,0.0017999560388897717
0.143103448,0.01,14.3103448,0.2,0.2,0.0017999681036442727
0.146551724,0.01,14.6551724,0.2,0.2,0.0017999768703592656
0.15,0.01,15,0.2,0.2,0.0017999832365538093
