a,sigma,beta,k,u_hat,delta,p_increase,delta_correct
0.012878788,0.01,1.2878788,0.2,0.1,6.409558266669371e-4,0.96,5.876872517568948e-4
0.012878788,0.01,1.2878788,0.2,0.1,6.409558266669371e-4,0.9,5.876872517568948e-4
0.013030303,0.01,1.3030303,0.2,0.1,6.39625681497466e-4,0.96,6.004228721778367e-4
0.013181818,0.01,1.3181817999999998,0.2,0.1,6.387075769215074e-4,0.92,6.131685813117061e-4
0.013181818,0.01,1.3181817999999998,0.2,0.1,6.387075769215074e-4,0.96,6.131685813117061e-4
0.013333333,0.01,1.3333332999999998,0.2,0.1,6.381861705300477e-4,0.94,6.259216942324092e-4
0.013333333,0.01,1.3333332999999998,0.2,0.1,6.381861705300477e-4,0.94,6.259216942324092e-4
0.013484848,0.01,1.3484848,0.2,0.1,6.380465880860939e-4,0.96,6.386795896080131e-4
0.013484848,0.01,1.3484848,0.2,0.1,6.380465880860939e-4,0.92,6.386795896080131e-4
0.013636364,0.01,1.3636364,0.2,0.1,6.382744123052436e-4,0.9,6.514397930579823e-4
0.013636364,0.01,1.3636364,0.2,0.1,6.382744123052436e-4,0.94,6.514397930579823e-4
0.013787879,0.01,1.3787878999999998,0.2,0.1,6.388556609241247e-4,1,6.641996394052795e-4
0.013787879,0.01,1.3787878999999998,0.2,0.1,6.388556609241247e-4,0.96,6.641996394052795e-4
0.013939394,0.01,1.3939394,0.2,0.1,6.397767827939102e-4,0.98,6.769567771379627e-4
0.013939394,0.01,1.3939394,0.2,0.1,6.397767827939102e-4,0.98,6.769567771379627e-4
0.014090909,0.01,1.4090909,0.2,0.1,6.410246415133208e-4,0.94,6.897088306720839e-4
0.014090909,0.01,1.4090909,0.2,0.1,6.410246415133208e-4,1,6.897088306720839e-4
0.014242424,0.01,1.4242424,0.2,0.1,6.425865034536563e-4,0.98,7.024534836993397e-4
0.014393939,0.01,1.4393939,0.2,0.1,6.444500258506407e-4,0.98,7.151884783230134e-4
0.014393939,0.01,1.4393939,0.2,0.1,6.444500258506407e-4,1,7.151884783230134e-4
0.014545455,0.01,1.4545455,0.2,0.1,6.466032603994868e-4,1,7.279116981240997e-4
0.014545455,0.01,1.4545455,0.2,0.1,6.466032603994868e-4,1,7.279116981240997e-4
0.01469697,0.01,1.469697,0.2,0.1,6.490345832902685e-4,0.98,7.406208314852409e-4
0.01469697,0.01,1.469697,0.2,0.1,6.490345832902685e-4,0.96,7.406208314852409e-4
