a,sigma,beta,k,u_hat,delta,p_increase
0.007727273,0.01,0.7727273,0.2,0.1,0.0010804895599896747,0.04
0.007727273,0.01,0.7727273,0.2,0.1,0.0010804895599896747,0.06
0.007878788,0.01,0.7878787999999999,0.2,0.1,0.0010514909299037623,0.06
0.007878788,0.01,0.7878787999999999,0.2,0.1,0.0010514909299037623,0.02
0.008030303,0.01,0.8030303000000001,0.2,0.1,0.0010238407623195127,0.02
0.008030303,0.01,0.8030303000000001,0.2,0.1,0.0010238407623195127,0.02
0.008181818,0.01,0.8181818000000001,0.2,0.1,9.97495270766778e-4,0
0.008181818,0.01,0.8181818000000001,0.2,0.1,9.97495270766778e-4,0.08
0.008333333,0.01,0.8333332999999999,0.2,0.1,9.724120032733255e-4,0.02
0.008333333,0.01,0.8333332999999999,0.2,0.1,9.724120032733255e-4,0.08
0.008484848,0.01,0.8484847999999999,0.2,0.1,9.485498009178611e-4,0.08
0.008484848,0.01,0.8484847999999999,0.2,0.1,9.485498009178611e-4,0.08
0.008636364,0.01,0.8636364000000001,0.2,0.1,9.258686118517926e-4,0.1
0.008636364,0.01,0.8636364000000001,0.2,0.1,9.258686118517926e-4,0.08
0.008787879,0.01,0.8787879,0.2,0.1,9.043300434560611e-4,0.1
0.008787879,0.01,0.8787879,0.2,0.1,9.043300434560611e-4,0.08
0.008939394,0.01,0.8939393999999999,0.2,0.1,8.8389642702382e-4,0.08
0.008939394,0.01,0.8939393999999999,0.2,0.1,8.8389642702382e-4,0.06
0.009090909,0.01,0.9090908999999999,0.2,0.1,8.645313877195908e-4,0.16
0.009090909,0.01,0.9090908999999999,0.2,0.1,8.645313877195908e-4,0.12
0.009242424,0.01,0.9242424,0.2,0.1,8.461996558913547e-4,0.22
0.009242424,0.01,0.9242424,0.2,0.1,8.461996558913547e-4,0.16
0.009393939,0.01,0.9393939,0.2,0.1,8.28867033067076e-4,0.12
0.009393939,0.01,0.9393939,0.2,0.1,8.28867033067076e-4,0.2
0.009545455,0.01,0.9545454999999999,0.2,0.1,8.125002541434633e-4,0.3
0.009545455,0.01,0.9545454999999999,0.2,0.1,8.125002541434633e-4,0.14
0.00969697,0.01,0.9696969999999999,0.2,0.1,7.970673812114174e-4,0.24
0.00969697,0.01,0.9696969999999999,0.2,0.1,7.970673812114174e-4,0.18
0.009848485,0.01,0.9848485,0.2,0.1,7.825371249272002e-4,0.28
0.009848485,0.01,0.9848485,0.2,0.1,7.825371249272002e-4,0.24
0.01,0.01,1,0.2,0.1,7.688792528779973e-4,0.28
0.01,0.01,1,0.2,0.1,7.688792528779973e-4,0.3
0.010151515,0.01,1.0151515,0.2,0.1,7.560644495261714e-4,0.48
0.010151515,0.01,1.0151515,0.2,0.1,7.560644495261714e-4,0.24
0.01030303,0.01,1.030303,0.2,0.1,7.440642882474873e-4,0.44
0.010454545,0.01,1.0454545,0.2,0.1,7.328512042603026e-4,0.26
0.010454545,0.01,1.0454545,0.2,0.1,7.328512042603026e-4,0.34
0.010606061,0.01,1.0606061,0.2,0.1,7.223984018793009e-4,0.44
0.010606061,0.01,1.0606061,0.2,0.1,7.223984018793009e-4,0.42
0.010757576,0.01,1.0757576,0.2,0.1,7.126801000467546e-4,0.5
0.010757576,0.01,1.0757576,0.2,0.1,7.126801000467546e-4,0.4
0.010909091,0.01,1.0909091,0.2,0.1,7.036710940865628e-4,0.52
0.010909091,0.01,1.0909091,0.2,0.1,7.036710940865628e-4,0.5
0.011060606,0.01,1.1060606,0.2,0.1,6.953470126752602e-4,0.52
0.011060606,0.01,1.1060606,0.2,0.1,6.953470126752602e-4,0.56
