a,sigma,beta,k,u_hat,delta_correct
0.008636364,0.01,0.8636364000000001,0.2,0.1,2.4825468702215255e-4
0.008636364,0.01,0.8636364000000001,0.2,0.1,2.4825468702215255e-4
0.008787879,0.01,0.8787879,0.2,0.1,2.5933369319485443e-4
0.008787879,0.01,0.8787879,0.2,0.1,2.5933369319485443e-4
0.008939394,0.01,0.8939393999999999,0.2,0.1,2.705270586650325e-4
0.008939394,0.01,0.8939393999999999,0.2,0.1,2.705270586650325e-4
0.009090909,0.01,0.9090908999999999,0.2,0.1,2.818300029448408e-4
0.009090909,0.01,0.9090908999999999,0.2,0.1,2.818300029448408e-4
0.009242424,0.01,0.9242424,0.2,0.1,2.9323782871481553e-4
0.009242424,0.01,0.9242424,0.2,0.1,2.9323782871481553e-4
0.009393939,0.01,0.9393939,0.2,0.1,3.0474592144067586e-4
0.009393939,0.01,0.9393939,0.2,0.1,3.0474592144067586e-4
0.009545455,0.01,0.9545454999999999,0.2,0.1,3.163498258432519e-4
0.009545455,0.01,0.9545454999999999,0.2,0.1,3.163498258432519e-4
0.00969697,0.01,0.9696969999999999,0.2,0.1,3.280449384631852e-4
0.00969697,0.01,0.9696969999999999,0.2,0.1,3.280449384631852e-4
0.009848485,0.01,0.9848485,0.2,0.1,3.398269667254962e-4
0.009848485,0.01,0.9848485,0.2,0.1,3.398269667254962e-4
0.01,0.01,1,0.2,0.1,3.5169162267188574e-4
0.01,0.01,1,0.2,0.1,3.5169162267188574e-4
0.010151515,0.01,1.0151515,0.2,0.1,3.636346986814719e-4
0.010151515,0.01,1.0151515,0.2,0.1,3.636346986814719e-4
0.01030303,0.01,1.030303,0.2,0.1,3.756520668888874e-4
0.010454545,0.01,1.0454545,0.2,0.1,3.8773967857595737e-4
0.010454545,0.01,1.0454545,0.2,0.1,3.8773967857595737e-4
0.010606061,0.01,1.0606061,0.2,0.1,3.998936439643785e-4
0.010606061,0.01,1.0606061,0.2,0.1,3.998936439643785e-4
0.010757576,0.01,1.0757576,0.2,0.1,4.121099102552001e-4
0.010757576,0.01,1.0757576,0.2,0.1,4.121099102552001e-4
0.010909091,0.01,1.0909091,0.2,0.1,4.243847422838575e-4
0.010909091,0.01,1.0909091,0.2,0.1,4.243847422838575e-4
0.011060606,0.01,1.1060606,0.2,0.1,4.3671440136640316e-4
0.011060606,0.01,1.1060606,0.2,0.1,4.3671440136640316e-4
