a,replicate,gen,num_dd
0.02,15,32,0
0.02,15,33,0
0.02,16,0,461
0.02,16,1,228
0.02,16,2,181
0.02,16,3,100
0.02,16,4,85
0.02,16,5,52
0.02,16,6,35
0.02,16,7,30
0.02,16,8,32
0.02,16,9,23
0.02,16,10,15
0.02,16,11,17
0.02,16,12,12
0.02,16,13,9
0.02,16,14,5
0.02,16,15,1
0.02,16,16,4
0.02,16,17,0
0.02,16,18,1
0.02,16,19,0
0.02,16,20,0
0.02,16,21,0
0.02,16,22,0
0.02,16,23,0
0.02,16,24,0
0.02,16,25,0
0.02,16,26,0
0.02,16,27,0
0.02,16,28,0
0.02,16,29,0
0.02,16,30,0
0.02,16,31,0
0.02,16,32,0
0.02,16,33,0
0.02,16,34,0
0.02,16,35,0
0.02,16,36,0
0.02,16,37,0
0.02,16,38,0
0.02,16,39,0
0.02,16,40,0
0.02,16,41,0
0.02,16,42,0
0.02,16,43,0
0.02,17,0,561
0.02,17,1,212
0.02,17,2,117
0.02,17,3,126
0.02,17,4,93
0.02,17,5,70
0.02,17,6,48
0.02,17,7,25
0.02,17,8,29
0.02,17,9,24
0.02,17,10,18
0.02,17,11,15
0.02,17,12,12
0.02,17,13,6
0.02,17,14,6
0.02,17,15,4
0.02,17,16,1
0.02,17,17,0
0.02,17,18,1
0.02,17,19,0
0.02,17,20,0
0.02,17,21,2
0.02,17,22,0
0.02,17,23,0
0.02,17,24,0
0.02,17,25,0
0.02,17,26,0
0.02,17,27,0
0.02,17,28,0
0.02,17,29,0
0.02,17,30,0
0.02,17,31,0
0.02,17,32,0
0.02,18,0,481
0.02,18,1,227
0.02,18,2,103
0.02,18,3,81
0.02,18,4,63
0.02,18,5,52
0.02,18,6,39
0.02,18,7,21
0.02,18,8,17
0.02,18,9,7
0.02,18,10,3
0.02,18,11,6
0.02,18,12,4
0.02,18,13,2
0.02,18,14,2
0.02,18,15,0
0.02,18,16,0
0.02,18,17,1
0.02,18,18,0
0.02,18,19,1
0.02,18,20,0
0.02,18,21,0
0.02,18,22,0
0.02,18,23,0
0.02,18,24,0
0.02,18,25,0
0.02,18,26,0
0.02,19,0,548
0.02,19,1,272
0.02,19,2,217
0.02,19,3,181
0.02,19,4,136
0.02,19,5,99
0.02,19,6,94
0.02,19,7,44
0.02,19,8,27
0.02,19,9,22
0.02,19,10,25
0.02,19,11,16
0.02,19,12,11
0.02,19,13,6
0.02,19,14,1
0.02,19,15,9
0.02,19,16,6
0.02,19,17,0
0.02,19,18,1
0.02,19,19,5
0.02,19,20,0
0.02,19,21,1
0.02,19,22,0
0.02,19,23,0
0.02,19,24,0
0.02,19,25,0
0.02,19,26,0
0.02,19,27,0
0.02,19,28,0
0.02,19,29,0
0.02,19,30,0
